年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1969,1,1,水,元日,2440222.125,280.02048300,65.83476977,12.36202546,1968,0,11,13,大安,丙子,,,
1969,1,2,木,,2440223.125,281.03949061,77.68532057,13.36202546,1968,0,11,14,赤口,丁丑,,,
1969,1,3,金,,2440224.125,282.05848748,89.56429666,14.36202546,1968,0,11,15,先勝,戊寅,,,
1969,1,4,土,,2440225.125,283.07747171,101.49770475,15.36202546,1968,0,11,16,友引,己卯,,,
1969,1,5,日,,2440226.125,284.09644185,113.50475912,16.36202546,1968,0,11,17,先負,庚辰,小寒,,
1969,1,6,月,,2440227.125,285.11539730,125.60242059,17.36202546,1968,0,11,18,仏滅,辛巳,,,
1969,1,7,火,,2440228.125,286.13433864,137.81018688,18.36202546,1968,0,11,19,大安,壬午,,人日,
1969,1,8,水,,2440229.125,287.15326783,150.15430683,19.36202546,1968,0,11,20,赤口,癸未,,,
1969,1,9,木,,2440230.125,288.17218816,162.67057421,20.36202546,1968,0,11,21,先勝,甲申,,,
1969,1,10,金,,2440231.125,289.19110397,175.40492381,21.36202546,1968,0,11,22,友引,乙酉,,,
1969,1,11,土,,2440232.125,290.21001992,188.41114851,22.36202546,1968,0,11,23,先負,丙戌,,,
1969,1,12,日,,2440233.125,291.22893977,201.74514106,23.36202546,1968,0,11,24,仏滅,丁亥,,,
1969,1,13,月,,2440234.125,292.24786457,215.45527384,24.36202546,1968,0,11,25,大安,戊子,,,
1969,1,14,火,,2440235.125,293.26679014,229.56916477,25.36202546,1968,0,11,26,赤口,己丑,,,
1969,1,15,水,成人の日,2440236.125,294.28570413,244.07854431,26.36202546,1968,0,11,27,先勝,庚寅,,,
1969,1,16,木,,2440237.125,295.30458365,258.92625325,27.36202546,1968,0,11,28,友引,辛卯,,,
1969,1,17,金,,2440238.125,296.32339482,274.00149993,28.36202546,1968,0,11,29,先負,壬辰,,,土用入(冬)
1969,1,18,土,,2440239.125,297.34209558,289.14903972,29.36202546,1968,0,12,1,赤口,癸巳,,,
1969,1,19,日,,2440240.125,298.36064156,304.19302834,0.91754630,1968,0,12,2,先勝,甲午,,,
1969,1,20,月,,2440241.125,299.37899260,318.96871138,1.91754630,1968,0,12,3,友引,乙未,大寒,,
1969,1,21,火,,2440242.125,300.39711700,333.35047013,2.91754630,1968,0,12,4,先負,丙申,,,
1969,1,22,水,,2440243.125,301.41499222,347.26713493,3.91754630,1968,0,12,5,仏滅,丁酉,,,
1969,1,23,木,,2440244.125,302.43260289,0.70267175,4.91754630,1968,0,12,6,大安,戊戌,,,
1969,1,24,金,,2440245.125,303.44993813,13.68650733,5.91754630,1968,0,12,7,赤口,己亥,,,
1969,1,25,土,,2440246.125,304.46698941,26.27960106,6.91754630,1968,0,12,8,先勝,庚子,,,
1969,1,26,日,,2440247.125,305.48374934,38.56086045,7.91754630,1968,0,12,9,友引,辛丑,,,
1969,1,27,月,,2440248.125,306.50021108,50.61608344,8.91754630,1968,0,12,10,先負,壬寅,,,
1969,1,28,火,,2440249.125,307.51636825,62.52983509,9.91754630,1968,0,12,11,仏滅,癸卯,,,
1969,1,29,水,,2440250.125,308.53221499,74.37984457,10.91754630,1968,0,12,12,大安,甲辰,,,
1969,1,30,木,,2440251.125,309.54774609,86.23336059,11.91754630,1968,0,12,13,赤口,乙巳,,,
1969,1,31,金,,2440252.125,310.56295728,98.14507720,12.91754630,1968,0,12,14,先勝,丙午,,,
1969,2,1,土,,2440253.125,311.57784561,110.15648386,13.91754630,1968,0,12,15,友引,丁未,,,
1969,2,2,日,,2440254.125,312.59240988,122.29664598,14.91754630,1968,0,12,16,先負,戊申,,,
1969,2,3,月,,2440255.125,313.60665127,134.58440755,15.91754630,1968,0,12,17,仏滅,己酉,,,節分
1969,2,4,火,,2440256.125,314.62057373,147.03181529,16.91754630,1968,0,12,18,大安,庚戌,立春,,
1969,2,5,水,,2440257.125,315.63418421,159.64825263,17.91754630,1968,0,12,19,赤口,辛亥,,,
1969,2,6,木,,2440258.125,316.64749244,172.44447328,18.91754630,1968,0,12,20,先勝,壬子,,,
1969,2,7,金,,2440259.125,317.66051003,185.43554966,19.91754630,1968,0,12,21,友引,癸丑,,,
1969,2,8,土,,2440260.125,318.67324900,198.64178069,20.91754630,1968,0,12,22,先負,甲寅,,,
1969,2,9,日,,2440261.125,319.68571983,212.08682566,21.91754630,1968,0,12,23,仏滅,乙卯,,,
1969,2,10,月,,2440262.125,320.69792908,225.79272229,22.91754630,1968,0,12,24,大安,丙辰,,,
1969,2,11,火,建国記念の日,2440263.125,321.70987701,239.77204783,23.91754630,1968,0,12,25,赤口,丁巳,,,
1969,2,12,水,,2440264.125,322.72155559,254.01835814,24.91754630,1968,0,12,26,先勝,戊午,,,
1969,2,13,木,,2440265.125,323.73294745,268.49718339,25.91754630,1968,0,12,27,友引,己未,,,
1969,2,14,金,,2440266.125,324.74402653,283.14086342,26.91754630,1968,0,12,28,先負,庚申,,,
1969,2,15,土,,2440267.125,325.75476072,297.85052421,27.91754630,1968,0,12,29,仏滅,辛酉,,,
1969,2,16,日,,2440268.125,326.76511610,312.50667956,28.91754630,1968,0,12,30,大安,壬戌,,,
1969,2,17,月,,2440269.125,327.77506130,326.98655420,0.44087963,1969,0,1,1,先勝,癸亥,,,
1969,2,18,火,,2440270.125,328.78457020,341.18308819,1.44087963,1969,0,1,2,友引,甲子,,,
1969,2,19,水,,2440271.125,329.79362241,355.01989647,2.44087963,1969,0,1,3,先負,乙丑,雨水,,
1969,2,20,木,,2440272.125,330.80220195,8.45866665,3.44087963,1969,0,1,4,仏滅,丙寅,,,
1969,2,21,金,,2440273.125,331.81029547,21.49885935,4.44087963,1969,0,1,5,大安,丁卯,,,
1969,2,22,土,,2440274.125,332.81789102,34.17199932,5.44087963,1969,0,1,6,赤口,戊辰,,,
1969,2,23,日,,2440275.125,333.82497748,46.53348260,6.44087963,1969,0,1,7,先勝,己巳,,,
1969,2,24,月,,2440276.125,334.83154451,58.65416105,7.44087963,1969,0,1,8,友引,庚午,,,
1969,2,25,火,,2440277.125,335.83758280,70.61291731,8.44087963,1969,0,1,9,先負,辛未,,,
1969,2,26,水,,2440278.125,336.84308420,82.49058820,9.44087963,1969,0,1,10,仏滅,壬申,,,
1969,2,27,木,,2440279.125,337.84804203,94.36511502,10.44087963,1969,0,1,11,大安,癸酉,,,
1969,2,28,金,,2440280.125,338.85245135,106.30765338,11.44087963,1969,0,1,12,赤口,甲戌,,,
