年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1912,1,1,月,,2419402.125,278.83812201,44.14449651,11.47243056,1911,0,11,12,仏滅,丙子,,,
1912,1,2,火,,2419403.125,279.85724321,58.49689449,12.47243056,1911,0,11,13,大安,丁丑,,,
1912,1,3,水,,2419404.125,280.87633855,73.30252780,13.47243056,1911,0,11,14,赤口,戊寅,,,
1912,1,4,木,,2419405.125,281.89540907,88.46337167,14.47243056,1911,0,11,15,先勝,己卯,,,
1912,1,5,金,,2419406.125,282.91445469,103.82231482,15.47243056,1911,0,11,16,友引,庚辰,,,
1912,1,6,土,,2419407.125,283.93347586,119.18437424,16.47243056,1911,0,11,17,先負,辛巳,,,
1912,1,7,日,,2419408.125,284.95247604,134.35199739,17.47243056,1911,0,11,18,仏滅,壬午,小寒,人日,
1912,1,8,月,,2419409.125,285.97146259,149.16172753,18.47243056,1911,0,11,19,大安,癸未,,,
1912,1,9,火,,2419410.125,286.99044513,163.50850147,19.47243056,1911,0,11,20,赤口,甲申,,,
1912,1,10,水,,2419411.125,288.00943208,177.35153325,20.47243056,1911,0,11,21,先勝,乙酉,,,
1912,1,11,木,,2419412.125,289.02842760,190.70511143,21.47243056,1911,0,11,22,友引,丙戌,,,
1912,1,12,金,,2419413.125,290.04743000,203.62208963,22.47243056,1911,0,11,23,先負,丁亥,,,
1912,1,13,土,,2419414.125,291.06643148,216.17685107,23.47243056,1911,0,11,24,仏滅,戊子,,,
1912,1,14,日,,2419415.125,292.08541882,228.45135313,24.47243056,1911,0,11,25,大安,己丑,,,
1912,1,15,月,,2419416.125,293.10437433,240.52520192,25.47243056,1911,0,11,26,赤口,庚寅,,,
1912,1,16,火,,2419417.125,294.12327677,252.46937856,26.47243056,1911,0,11,27,先勝,辛卯,,,
1912,1,17,水,,2419418.125,295.14210217,264.34290607,27.47243056,1911,0,11,28,友引,壬辰,,,
1912,1,18,木,,2419419.125,296.16082454,276.19187721,28.47243056,1911,0,11,29,先負,癸巳,,,土用入(冬)
1912,1,19,金,,2419420.125,297.17941671,288.05045586,29.47243056,1911,0,12,1,赤口,甲午,,,
1912,1,20,土,,2419421.125,298.19785113,299.94355759,0.66024306,1911,0,12,2,先勝,乙未,,,
1912,1,21,日,,2419422.125,299.21610068,311.89082518,1.66024306,1911,0,12,3,友引,丙申,大寒,,
1912,1,22,月,,2419423.125,300.23413958,323.91135367,2.66024306,1911,0,12,4,先負,丁酉,,,
1912,1,23,火,,2419424.125,301.25194404,336.02843355,3.66024306,1911,0,12,5,仏滅,戊戌,,,
1912,1,24,水,,2419425.125,302.26949280,348.27351466,4.66024306,1911,0,12,6,大安,己亥,,,
