年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2009,1,1,木,元日,2454832.125,280.31769506,325.19194517,4.60945602,2008,0,12,6,大安,丙午,,,
2009,1,2,金,,2454833.125,281.33723399,337.46349704,5.60945602,2008,0,12,7,赤口,丁未,,,
2009,1,3,土,,2454834.125,282.35670749,349.97511282,6.60945602,2008,0,12,8,先勝,戊申,,,
2009,1,4,日,,2454835.125,283.37611231,2.79021008,7.60945602,2008,0,12,9,友引,己酉,,,
2009,1,5,月,,2454836.125,284.39543712,15.96935848,8.60945602,2008,0,12,10,先負,庚戌,小寒,,
2009,1,6,火,,2454837.125,285.41467421,29.56121749,9.60945602,2008,0,12,11,仏滅,辛亥,,,
2009,1,7,水,,2454838.125,286.43381891,43.59074583,10.60945602,2008,0,12,12,大安,壬子,,人日,
2009,1,8,木,,2454839.125,287.45286853,58.04658191,11.60945602,2008,0,12,13,赤口,癸丑,,,
2009,1,9,金,,2454840.125,288.47182095,72.87114477,12.60945602,2008,0,12,14,先勝,甲寅,,,
2009,1,10,土,,2454841.125,289.49067379,87.95823755,13.60945602,2008,0,12,15,友引,乙卯,,,
2009,1,11,日,,2454842.125,290.50942501,103.16198472,14.60945602,2008,0,12,16,先負,丙辰,,,
2009,1,12,月,成人の日,2454843.125,291.52807501,118.31700059,15.60945602,2008,0,12,17,仏滅,丁巳,,,
2009,1,13,火,,2454844.125,292.54662895,133.26444158,16.60945602,2008,0,12,18,大安,戊午,,,
2009,1,14,水,,2454845.125,293.56509688,147.87564686,17.60945602,2008,0,12,19,赤口,己未,,,
2009,1,15,木,,2454846.125,294.58349135,162.06664454,18.60945602,2008,0,12,20,先勝,庚申,,,
2009,1,16,金,,2454847.125,295.60182347,175.80146610,19.60945602,2008,0,12,21,友引,辛酉,,,
2009,1,17,土,,2454848.125,296.62009979,189.08656697,20.60945602,2008,0,12,22,先負,壬戌,,,土用入(冬)
2009,1,18,日,,2454849.125,297.63832070,201.96052041,21.60945602,2008,0,12,23,仏滅,癸亥,,,
2009,1,19,月,,2454850.125,298.65648048,214.48272113,22.60945602,2008,0,12,24,大安,甲子,,,
2009,1,20,火,,2454851.125,299.67456805,226.72339023,23.60945602,2008,0,12,25,赤口,乙丑,大寒,,
2009,1,21,水,,2454852.125,300.69256799,238.75580312,24.60945602,2008,0,12,26,先勝,丙寅,,,
2009,1,22,木,,2454853.125,301.71046147,250.65080327,25.60945602,2008,0,12,27,友引,丁卯,,,
2009,1,23,金,,2454854.125,302.72822692,262.47329454,26.60945602,2008,0,12,28,先負,戊辰,,,
2009,1,24,土,,2454855.125,303.74584062,274.28033955,27.60945602,2008,0,12,29,仏滅,己巳,,,
2009,1,25,日,,2454856.125,304.76327729,286.12055469,28.60945602,2008,0,12,30,大安,庚午,,,
2009,1,26,月,,2454857.125,305.78051074,298.03456862,29.60945602,2009,0,1,1,先勝,辛未,,,
2009,1,27,火,,2454858.125,306.79751469,310.05633586,0.79495370,2009,0,1,2,友引,壬申,,,
2009,1,28,水,,2454859.125,307.81426364,322.21506458,1.79495370,2009,0,1,3,先負,癸酉,,,
2009,1,29,木,,2454860.125,308.83073369,334.53742945,2.79495370,2009,0,1,4,仏滅,甲戌,,,
2009,1,30,金,,2454861.125,309.84690323,347.04964058,3.79495370,2009,0,1,5,大安,乙亥,,,
2009,1,31,土,,2454862.125,310.86275327,359.77885111,4.79495370,2009,0,1,6,赤口,丙子,,,
2009,2,1,日,,2454863.125,311.87826752,12.75335707,5.79495370,2009,0,1,7,先勝,丁丑,,,
2009,2,2,月,,2454864.125,312.89343212,26.00108373,6.79495370,2009,0,1,8,友引,戊寅,,,
2009,2,3,火,,2454865.125,313.90823507,39.54601654,7.79495370,2009,0,1,9,先負,己卯,,,節分
2009,2,4,水,,2454866.125,314.92266566,53.40256618,8.79495370,2009,0,1,10,仏滅,庚辰,立春,,
2009,2,5,木,,2454867.125,315.93671378,67.56841197,9.79495370,2009,0,1,11,大安,辛巳,,,
2009,2,6,金,,2454868.125,316.95036975,82.01714301,10.79495370,2009,0,1,12,赤口,壬午,,,
2009,2,7,土,,2454869.125,317.96362510,96.69282138,11.79495370,2009,0,1,13,先勝,癸未,,,
2009,2,8,日,,2454870.125,318.97647437,111.50899749,12.79495370,2009,0,1,14,友引,甲申,,,
2009,2,9,月,,2454871.125,319.98891786,126.35414461,13.79495370,2009,0,1,15,先負,乙酉,,,
2009,2,10,火,,2454872.125,321.00096356,141.10370782,14.79495370,2009,0,1,16,仏滅,丙戌,,,
2009,2,11,水,建国記念の日,2454873.125,322.01262686,155.63648312,15.79495370,2009,0,1,17,大安,丁亥,,,
2009,2,12,木,,2454874.125,323.02392739,169.85114991,16.79495370,2009,0,1,18,赤口,戊子,,,
2009,2,13,金,,2454875.125,324.03488441,183.67863296,17.79495370,2009,0,1,19,先勝,己丑,,,
2009,2,14,土,,2454876.125,325.04551282,197.08773919,18.79495370,2009,0,1,20,友引,庚寅,,,
2009,2,15,日,,2454877.125,326.05582100,210.08405629,19.79495370,2009,0,1,21,先負,辛卯,,,
2009,2,16,月,,2454878.125,327.06581057,222.70404094,20.79495370,2009,0,1,22,仏滅,壬辰,,,
2009,2,17,火,,2454879.125,328.07547737,235.00684539,21.79495370,2009,0,1,23,大安,癸巳,,,
2009,2,18,水,,2454880.125,329.08481262,247.06596691,22.79495370,2009,0,1,24,赤口,甲午,雨水,,
2009,2,19,木,,2454881.125,330.09380418,258.96190897,23.79495370,2009,0,1,25,先勝,乙未,,,
2009,2,20,金,,2454882.125,331.10243731,270.77623928,24.79495370,2009,0,1,26,友引,丙申,,,
2009,2,21,土,,2454883.125,332.11069529,282.58694189,25.79495370,2009,0,1,27,先負,丁酉,,,
2009,2,22,日,,2454884.125,333.11855986,294.46478258,26.79495370,2009,0,1,28,仏滅,戊戌,,,
2009,2,23,月,,2454885.125,334.12601171,306.47044050,27.79495370,2009,0,1,29,大安,己亥,,,
2009,2,24,火,,2454886.125,335.13303100,318.65231266,28.79495370,2009,0,1,30,赤口,庚子,,,
2009,2,25,水,,2454887.125,336.13959801,331.04507992,0.05898148,2009,0,2,1,友引,辛丑,,,
2009,2,26,木,,2454888.125,337.14569385,343.66926410,1.05898148,2009,0,2,2,先負,壬寅,,,
2009,2,27,金,,2454889.125,338.15130091,356.53202666,2.05898148,2009,0,2,3,仏滅,癸卯,,,
2009,2,28,土,,2454890.125,339.15640303,9.62931068,3.05898148,2009,0,2,4,大安,甲辰,,,
2009,3,1,日,,2454891.125,340.16098524,22.94909695,4.05898148,2009,0,2,5,赤口,乙巳,,,
2009,3,2,月,,2454892.125,341.16503319,36.47513499,5.05898148,2009,0,2,6,先勝,丙午,,,
