年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2008,1,1,火,元日,2454466.125,279.54488530,192.83380612,22.38859954,2007,0,11,23,先負,庚子,,,
2008,1,2,水,,2454467.125,280.56422878,204.78697607,23.38859954,2007,0,11,24,仏滅,辛丑,,,
2008,1,3,木,,2454468.125,281.58367908,216.64732967,24.38859954,2007,0,11,25,大安,壬寅,,,
2008,1,4,金,,2454469.125,282.60322209,228.49173837,25.38859954,2007,0,11,26,赤口,癸卯,,,
2008,1,5,土,,2454470.125,283.62284035,240.38641412,26.38859954,2007,0,11,27,先勝,甲辰,,,
2008,1,6,日,,2454471.125,284.64251294,252.38466325,27.38859954,2007,0,11,28,友引,乙巳,小寒,,
2008,1,7,月,,2454472.125,285.66221559,264.52588274,28.38859954,2007,0,11,29,先負,丙午,,人日,
2008,1,8,火,,2454473.125,286.68192090,276.83594949,29.38859954,2007,0,12,1,赤口,丁未,,,
2008,1,9,水,,2454474.125,287.70159901,289.32911349,0.64086806,2007,0,12,2,先勝,戊申,,,
2008,1,10,木,,2454475.125,288.72121877,302.01126153,1.64086806,2007,0,12,3,友引,己酉,,,
2008,1,11,金,,2454476.125,289.74074935,314.88403703,2.64086806,2007,0,12,4,先負,庚戌,,,
2008,1,12,土,,2454477.125,290.76016197,327.94892341,3.64086806,2007,0,12,5,仏滅,辛亥,,,
2008,1,13,日,,2454478.125,291.77943154,341.21020074,4.64086806,2007,0,12,6,大安,壬子,,,
2008,1,14,月,成人の日,2454479.125,292.79853768,354.67575917,5.64086806,2007,0,12,7,赤口,癸丑,,,
2008,1,15,火,,2454480.125,293.81746503,8.35510818,6.64086806,2007,0,12,8,先勝,甲寅,,,
2008,1,16,水,,2454481.125,294.83620277,22.25449108,7.64086806,2007,0,12,9,友引,乙卯,,,
2008,1,17,木,,2454482.125,295.85474356,36.36977335,8.64086806,2007,0,12,10,先負,丙辰,,,
2008,1,18,金,,2454483.125,296.87308205,50.67865657,9.64086806,2007,0,12,11,仏滅,丁巳,,,土用入(冬)
2008,1,19,土,,2454484.125,297.89121361,65.13460177,10.64086806,2007,0,12,12,大安,戊午,,,
2008,1,20,日,,2454485.125,298.90913366,79.66517906,11.64086806,2007,0,12,13,赤口,己未,,,
2008,1,21,月,,2454486.125,299.92683807,94.17679894,12.64086806,2007,0,12,14,先勝,庚申,大寒,,
2008,1,22,火,,2454487.125,300.94432471,108.56575220,13.64086806,2007,0,12,15,友引,辛酉,,,
2008,1,23,水,,2454488.125,301.96159512,122.73294007,14.64086806,2007,0,12,16,先負,壬戌,,,
2008,1,24,木,,2454489.125,302.97865526,136.59810994,15.64086806,2007,0,12,17,仏滅,癸亥,,,
2008,1,25,金,,2454490.125,303.99551470,150.10983826,16.64086806,2007,0,12,18,大安,甲子,,,
2008,1,26,土,,2454491.125,305.01218442,163.24952864,17.64086806,2007,0,12,19,赤口,乙丑,,,
2008,1,27,日,,2454492.125,306.02867433,176.02995879,18.64086806,2007,0,12,20,先勝,丙寅,,,
2008,1,28,月,,2454493.125,307.04499131,188.49023124,19.64086806,2007,0,12,21,友引,丁卯,,,
2008,1,29,火,,2454494.125,308.06113823,200.68915770,20.64086806,2007,0,12,22,先負,戊辰,,,
2008,1,30,水,,2454495.125,309.07711368,212.69855219,21.64086806,2007,0,12,23,仏滅,己巳,,,
2008,1,31,木,,2454496.125,310.09291224,224.59718581,22.64086806,2007,0,12,24,大安,庚午,,,
2008,2,1,金,,2454497.125,311.10852479,236.46558689,23.64086806,2007,0,12,25,赤口,辛未,,,
2008,2,2,土,,2454498.125,312.12393871,248.38155646,24.64086806,2007,0,12,26,先勝,壬申,,,
2008,2,3,日,,2454499.125,313.13913801,260.41618360,25.64086806,2007,0,12,27,友引,癸酉,,,節分
2008,2,4,月,,2454500.125,314.15410327,272.63022957,26.64086806,2007,0,12,28,先負,甲戌,立春,,
2008,2,5,火,,2454501.125,315.16881178,285.07093298,27.64086806,2007,0,12,29,仏滅,乙亥,,,
2008,2,6,水,,2454502.125,316.18323798,297.76950355,28.64086806,2007,0,12,30,大安,丙子,,,
2008,2,7,木,,2454503.125,317.19735444,310.73972851,29.64086806,2008,0,1,1,先勝,丁丑,,,
2008,2,8,金,,2454504.125,318.21113341,323.97812155,0.96909722,2008,0,1,2,友引,戊寅,,,
2008,2,9,土,,2454505.125,319.22454858,337.46582137,1.96909722,2008,0,1,3,先負,己卯,,,
2008,2,10,日,,2454506.125,320.23757674,351.17205023,2.96909722,2008,0,1,4,仏滅,庚辰,,,
2008,2,11,月,建国記念の日,2454507.125,321.25019846,5.05847826,3.96909722,2008,0,1,5,大安,辛巳,,,
2008,2,12,火,,2454508.125,322.26239789,19.08353089,4.96909722,2008,0,1,6,赤口,壬午,,,
2008,2,13,水,,2454509.125,323.27416162,33.20567799,5.96909722,2008,0,1,7,先勝,癸未,,,
2008,2,14,木,,2454510.125,324.28547748,47.38507624,6.96909722,2008,0,1,8,友引,甲申,,,
2008,2,15,金,,2454511.125,325.29633373,61.58349362,7.96909722,2008,0,1,9,先負,乙酉,,,
2008,2,16,土,,2454512.125,326.30671908,75.76302209,8.96909722,2008,0,1,10,仏滅,丙戌,,,
2008,2,17,日,,2454513.125,327.31662364,89.88448430,9.96909722,2008,0,1,11,大安,丁亥,,,
2008,2,18,月,,2454514.125,328.32604048,103.90653397,10.96909722,2008,0,1,12,赤口,戊子,,,
2008,2,19,火,,2454515.125,329.33496732,117.78620557,11.96909722,2008,0,1,13,先勝,己丑,雨水,,
2008,2,20,水,,2454516.125,330.34340768,131.48117819,12.96909722,2008,0,1,14,友引,庚寅,,,
2008,2,21,木,,2454517.125,331.35137097,144.95344565,13.96909722,2008,0,1,15,先負,辛卯,,,
2008,2,22,金,,2454518.125,332.35887118,158.17363359,14.96909722,2008,0,1,16,仏滅,壬辰,,,
2008,2,23,土,,2454519.125,333.36592464,171.12503174,15.96909722,2008,0,1,17,大安,癸巳,,,
2008,2,24,日,,2454520.125,334.37254746,183.80653315,16.96909722,2008,0,1,18,赤口,甲午,,,
2008,2,25,月,,2454521.125,335.37875343,196.23402634,17.96909722,2008,0,1,19,先勝,乙未,,,
2008,2,26,火,,2454522.125,336.38455272,208.44018708,18.96909722,2008,0,1,20,友引,丙申,,,
2008,2,27,水,,2454523.125,337.38995143,220.47293273,19.96909722,2008,0,1,21,先負,丁酉,,,
2008,2,28,木,,2454524.125,338.39495164,232.39292962,20.96909722,2008,0,1,22,仏滅,戊戌,,,
2008,2,29,金,,2454525.125,339.39955179,244.27051219,21.96909722,2008,0,1,23,大安,己亥,,,
2008,3,1,土,,2454526.125,341.40752932,268.20692259,22.96909722,2008,0,1,24,赤口,庚子,,,
2008,3,2,日,,2454527.125,341.40752933,268.20692277,23.96909722,2008,0,1,25,先勝,辛丑,,,
2008,3,3,月,,2454528.125,342.41088779,280.42153486,24.96909722,2008,0,1,26,友引,壬寅,,上巳,
2008,3,4,火,,2454529.125,343.41380848,292.89590256,25.96909722,2008,0,1,27,先負,癸卯,,,
2008,3,5,水,,2454530.125,344.41627482,305.68700526,26.96909722,2008,0,1,28,仏滅,甲辰,啓蟄,,
2008,3,6,木,,2454531.125,345.41826826,318.83255316,27.96909722,2008,0,1,29,大安,乙巳,,,
2008,3,7,金,,2454532.125,346.41976931,332.34476479,28.96909722,2008,0,1,30,赤口,丙午,,,
2008,3,8,土,,2454533.125,347.42075901,346.20569410,0.40678241,2008,0,2,1,友引,丁未,,,
2008,3,9,日,,2454534.125,348.42121998,0.36593087,1.40678241,2008,0,2,2,先負,戊申,,,
2008,3,10,月,,2454535.125,349.42113662,14.74831574,2.40678241,2008,0,2,3,仏滅,己酉,,,
2008,3,11,火,,2454536.125,350.42049416,29.25712898,3.40678241,2008,0,2,4,大安,庚戌,,,
2008,3,12,水,,2454537.125,351.41927737,43.79123596,4.40678241,2008,0,2,5,赤口,辛亥,,,
2008,3,13,木,,2454538.125,352.41746986,58.25787180,5.40678241,2008,0,2,6,先勝,壬子,,,
2008,3,14,金,,2454539.125,353.41505469,72.58329575,6.40678241,2008,0,2,7,友引,癸丑,,,
2008,3,15,土,,2454540.125,354.41201625,86.71783669,7.40678241,2008,0,2,8,先負,甲寅,,,
2008,3,16,日,,2454541.125,355.40834250,100.63507890,8.40678241,2008,0,2,9,仏滅,乙卯,,,
2008,3,17,月,,2454542.125,356.40402699,114.32682431,9.40678241,2008,0,2,10,大安,丙辰,,,彼岸入(春)
2008,3,18,火,,2454543.125,357.39906997,127.79625268,10.40678241,2008,0,2,11,赤口,丁巳,,,
2008,3,19,水,,2454544.125,358.39347853,141.05147686,11.40678241,2008,0,2,12,先勝,戊午,,,社日(春)
2008,3,20,木,春分の日,2454545.125,359.38726583,154.10094845,12.40678241,2008,0,2,13,友引,己未,春分,,彼岸(春)
2008,3,21,金,,2454546.125,0.38044952,166.95135364,13.40678241,2008,0,2,14,先負,庚申,,,
2008,3,22,土,,2454547.125,1.37304967,179.60795070,14.40678241,2008,0,2,15,仏滅,辛酉,,,
2008,3,23,日,,2454548.125,2.36508670,192.07679648,15.40678241,2008,0,2,16,大安,壬戌,,,彼岸明(春)
2008,3,24,月,,2454549.125,3.35657957,204.36802309,16.40678241,2008,0,2,17,赤口,癸亥,,,
2008,3,25,火,,2454550.125,4.34754453,216.49925686,17.40678241,2008,0,2,18,先勝,甲子,,,
2008,3,26,水,,2454551.125,5.33799455,228.49842197,18.40678241,2008,0,2,19,友引,乙丑,,,
2008,3,27,木,,2454552.125,6.32793916,240.40545596,19.40678241,2008,0,2,20,先負,丙寅,,,
2008,3,28,金,,2454553.125,7.31738474,252.27276138,20.40678241,2008,0,2,21,仏滅,丁卯,,,
2008,3,29,土,,2454554.125,8.30633478,264.16441196,21.40678241,2008,0,2,22,大安,戊辰,,,
2008,3,30,日,,2454555.125,9.29479023,276.15417610,22.40678241,2008,0,2,23,赤口,己巳,,,
2008,3,31,月,,2454556.125,12.25716456,313.51730974,23.40678241,2008,0,2,24,先勝,庚午,,,
2008,4,1,火,,2454557.125,13.24360743,326.68549830,24.40678241,2008,0,2,25,友引,辛未,,,
2008,4,2,水,,2454558.125,12.25716459,313.51731014,25.40678241,2008,0,2,26,先負,壬申,,,
2008,4,3,木,,2454559.125,13.24360746,326.68549871,26.40678241,2008,0,2,27,仏滅,癸酉,,,
2008,4,4,金,,2454560.125,14.22953036,340.29515366,27.40678241,2008,0,2,28,大安,甲戌,清明,,
2008,4,5,土,,2454561.125,15.21492506,354.35001579,28.40678241,2008,0,2,29,赤口,乙亥,,,
2008,4,6,日,,2454562.125,16.19978325,8.80823866,29.40678241,2008,0,3,1,先負,丙子,,,
2008,4,7,月,,2454563.125,17.18409559,23.57925073,0.96159722,2008,0,3,2,仏滅,丁丑,,,
2008,4,8,火,,2454564.125,18.16785001,38.53132328,1.96159722,2008,0,3,3,大安,戊寅,,,
