年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2099,1,1,木,元日,2487704.125,280.47003953,19.56053219,9.48142361,2098,0,12,10,先負,戊戌,,,
2099,1,2,金,,2487705.125,281.48904338,31.96553565,10.48142361,2098,0,12,11,仏滅,己亥,,,
2099,1,3,土,,2487706.125,282.50801873,44.74548785,11.48142361,2098,0,12,12,大安,庚子,,,
2099,1,4,日,,2487707.125,283.52696339,57.96472950,12.48142361,2098,0,12,13,赤口,辛丑,,,
2099,1,5,月,,2487708.125,284.54587616,71.65532595,13.48142361,2098,0,12,14,先勝,壬寅,小寒,,
2099,1,6,火,,2487709.125,285.56475604,85.80479776,14.48142361,2098,0,12,15,友引,癸卯,,,
2099,1,7,水,,2487710.125,286.58360184,100.34866489,15.48142361,2098,0,12,16,先負,甲辰,,人日,
2099,1,8,木,,2487711.125,287.60241298,115.17301313,16.48142361,2098,0,12,17,仏滅,乙巳,,,
2099,1,9,金,,2487712.125,288.62119121,130.12993755,17.48142361,2098,0,12,18,大安,丙午,,,
2099,1,10,土,,2487713.125,289.63994240,145.06306183,18.48142361,2098,0,12,19,赤口,丁未,,,
2099,1,11,日,,2487714.125,290.65867660,159.83475003,19.48142361,2098,0,12,20,先勝,戊申,,,
2099,1,12,月,成人の日,2487715.125,291.67740563,174.34561009,20.48142361,2098,0,12,21,友引,己酉,,,
2099,1,13,火,,2487716.125,292.69613927,188.54132200,21.48142361,2098,0,12,22,先負,庚戌,,,
2099,1,14,水,,2487717.125,293.71488167,202.40794491,22.48142361,2098,0,12,23,仏滅,辛亥,,,
2099,1,15,木,,2487718.125,294.73362938,215.96052455,23.48142361,2098,0,12,24,大安,壬子,,,
2099,1,16,金,,2487719.125,295.75237100,229.23006749,24.48142361,2098,0,12,25,赤口,癸丑,,,
2099,1,17,土,,2487720.125,296.77108812,242.25230904,25.48142361,2098,0,12,26,先勝,甲寅,,,土用入(冬)
2099,1,18,日,,2487721.125,297.78975688,255.05989112,26.48142361,2098,0,12,27,友引,乙卯,,,
2099,1,19,月,,2487722.125,298.80834974,267.67832627,27.48142361,2098,0,12,28,先負,丙辰,,,
2099,1,20,火,,2487723.125,299.82683722,280.12542838,28.48142361,2098,0,12,29,仏滅,丁巳,大寒,,
2099,1,21,水,,2487724.125,300.84518949,292.41349239,29.48142361,2099,0,1,1,先勝,戊午,,,
2099,1,22,木,,2487725.125,301.86337777,304.55326378,0.74303241,2099,0,1,2,友引,己未,,,
2099,1,23,金,,2487726.125,302.88137527,316.55862698,1.74303241,2099,0,1,3,先負,庚申,,,
2099,1,24,土,,2487727.125,303.89915780,328.45102876,2.74303241,2099,0,1,4,仏滅,辛酉,,,
2099,1,25,日,,2487728.125,304.91670401,340.26290397,3.74303241,2099,0,1,5,大安,壬戌,,,
2099,1,26,月,,2487729.125,305.93399525,352.03971478,4.74303241,2099,0,1,6,赤口,癸亥,,,
2099,1,27,火,,2487730.125,306.95101537,3.84049491,5.74303241,2099,0,1,7,先勝,甲子,,,
2099,1,28,水,,2487731.125,307.96775034,15.73691993,6.74303241,2099,0,1,8,友引,乙丑,,,
2099,1,29,木,,2487732.125,308.98418796,27.81085218,7.74303241,2099,0,1,9,先負,丙寅,,,
2099,1,30,金,,2487733.125,310.00031758,40.15009043,8.74303241,2099,0,1,10,仏滅,丁卯,,,
2099,1,31,土,,2487734.125,311.01612977,52.84180128,9.74303241,2099,0,1,11,大安,戊辰,,,
2099,2,1,日,,2487735.125,312.03161605,65.96302491,10.74303241,2099,0,1,12,赤口,己巳,,,
2099,2,2,月,,2487736.125,313.04676855,79.56806074,11.74303241,2099,0,1,13,先勝,庚午,,,節分
2099,2,3,火,,2487737.125,314.06157996,93.67381098,12.74303241,2099,0,1,14,友引,辛未,立春,,
2099,2,4,水,,2487738.125,315.07604423,108.24637604,13.74303241,2099,0,1,15,先負,壬申,,,
2099,2,5,木,,2487739.125,316.09015836,123.19447117,14.74303241,2099,0,1,16,仏滅,癸酉,,,
2099,2,6,金,,2487740.125,317.10392528,138.37545440,15.74303241,2099,0,1,17,大安,甲戌,,,
2099,2,7,土,,2487741.125,318.11735607,153.61587798,16.74303241,2099,0,1,18,赤口,乙亥,,,
2099,2,8,日,,2487742.125,319.13046951,168.74144201,17.74303241,2099,0,1,19,先勝,丙子,,,
2099,2,9,月,,2487743.125,320.14328791,183.60592688,18.74303241,2099,0,1,20,友引,丁丑,,,
2099,2,10,火,,2487744.125,321.15583110,198.10954249,19.74303241,2099,0,1,21,先負,戊寅,,,
2099,2,11,水,建国記念の日,2487745.125,322.16811132,212.20327186,20.74303241,2099,0,1,22,仏滅,己卯,,,
2099,2,12,木,,2487746.125,323.18013108,225.88206186,21.74303241,2099,0,1,23,大安,庚辰,,,
2099,2,13,金,,2487747.125,324.19188370,239.17244151,22.74303241,2099,0,1,24,赤口,辛巳,,,
2099,2,14,土,,2487748.125,325.20335537,252.11944884,23.74303241,2099,0,1,25,先勝,壬午,,,
2099,2,15,日,,2487749.125,326.21452746,264.77569946,24.74303241,2099,0,1,26,友引,癸未,,,
2099,2,16,月,,2487750.125,327.22537857,277.19363138,25.74303241,2099,0,1,27,先負,甲申,,,
2099,2,17,火,,2487751.125,328.23588599,289.42092076,26.74303241,2099,0,1,28,仏滅,乙酉,,,
2099,2,18,水,,2487752.125,329.24602684,301.49862818,27.74303241,2099,0,1,29,大安,丙戌,雨水,,
2099,2,19,木,,2487753.125,330.25577890,313.46150639,28.74303241,2099,0,1,30,赤口,丁亥,,,
2099,2,20,金,,2487754.125,331.26512111,325.33987824,29.74303241,2099,0,2,1,友引,戊子,,,
2099,2,21,土,,2487755.125,332.27403403,337.16248955,0.95252315,2099,0,2,2,先負,己丑,,,
2099,2,22,日,,2487756.125,333.28249988,348.95975119,1.95252315,2099,0,2,3,仏滅,庚寅,,,
2099,2,23,月,,2487757.125,334.29050257,0.76682594,2.95252315,2099,0,2,4,大安,辛卯,,,
2099,2,24,火,,2487758.125,335.29802742,12.62609681,3.95252315,2099,0,2,5,赤口,壬辰,,,
2099,2,25,水,,2487759.125,336.30506091,24.58863243,4.95252315,2099,0,2,6,先勝,癸巳,,,
2099,2,26,木,,2487760.125,337.31159030,36.71432399,5.95252315,2099,0,2,7,友引,甲午,,,
2099,2,27,金,,2487761.125,338.31760334,49.07034436,6.95252315,2099,0,2,8,先負,乙未,,,
2099,2,28,土,,2487762.125,339.32308800,61.72750846,7.95252315,2099,0,2,9,仏滅,丙申,,,
2099,3,1,日,,2487763.125,340.32803234,74.75405716,8.95252315,2099,0,2,10,大安,丁酉,,,
2099,3,2,月,,2487764.125,341.33242455,88.20652433,9.95252315,2099,0,2,11,赤口,戊戌,,,
2099,3,3,火,,2487765.125,342.33625359,102.11794823,10.95252315,2099,0,2,12,先勝,己亥,,上巳,
2099,3,4,水,,2487766.125,343.33951062,116.48497506,11.95252315,2099,0,2,13,友引,庚子,,,
