年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2036,1,1,火,元日,2464693.125,279.74410791,301.55727781,2.51973380,2035,0,12,4,先負,丁卯,,,
2036,1,2,水,,2464694.125,280.76363583,313.36781840,3.51973380,2035,0,12,5,仏滅,戊辰,,,
2036,1,3,木,,2464695.125,281.78314460,325.23006292,4.51973380,2035,0,12,6,大安,己巳,,,
2036,1,4,金,,2464696.125,282.80261210,337.20049280,5.51973380,2035,0,12,7,赤口,庚午,,,
2036,1,5,土,,2464697.125,283.82201878,349.34597773,6.51973380,2035,0,12,8,先勝,辛未,,,
2036,1,6,日,,2464698.125,284.84134795,1.74130201,7.51973380,2035,0,12,9,友引,壬申,小寒,,
2036,1,7,月,,2464699.125,285.86058602,14.46429222,8.51973380,2035,0,12,10,先負,癸酉,,人日,
2036,1,8,火,,2464700.125,286.87972269,27.58798114,9.51973380,2035,0,12,11,仏滅,甲戌,,,
2036,1,9,水,,2464701.125,287.89875105,41.16945543,10.51973380,2035,0,12,12,大安,乙亥,,,
2036,1,10,木,,2464702.125,288.91766726,55.23591358,11.51973380,2035,0,12,13,赤口,丙子,,,
2036,1,11,金,,2464703.125,289.93646985,69.77026347,12.51973380,2035,0,12,14,先勝,丁丑,,,
2036,1,12,土,,2464704.125,290.95515877,84.70092585,13.51973380,2035,0,12,15,友引,戊寅,,,
2036,1,13,日,,2464705.125,291.97373486,99.90180692,14.51973380,2035,0,12,16,先負,己卯,,,
2036,1,14,月,成人の日,2464706.125,292.99220027,115.20643009,15.51973380,2035,0,12,17,仏滅,庚辰,,,
2036,1,15,火,,2464707.125,294.01055983,130.43436541,16.51973380,2035,0,12,18,大安,辛巳,,,
2036,1,16,水,,2464708.125,295.02882190,145.42163093,17.51973380,2035,0,12,19,赤口,壬午,,,
2036,1,17,木,,2464709.125,296.04699731,160.04467393,18.51973380,2035,0,12,20,先勝,癸未,,,土用入(冬)
2036,1,18,金,,2464710.125,297.06509663,174.23153662,19.51973380,2035,0,12,21,友引,甲申,,,
2036,1,19,土,,2464711.125,298.08312698,187.96029444,20.51973380,2035,0,12,22,先負,乙酉,,,
2036,1,20,日,,2464712.125,299.10108998,201.24924102,21.51973380,2035,0,12,23,仏滅,丙戌,大寒,,
2036,1,21,月,,2464713.125,300.11898118,214.14405190,22.51973380,2035,0,12,24,大安,丁亥,,,
2036,1,22,火,,2464714.125,301.13679055,226.70564241,23.51973380,2035,0,12,25,赤口,戊子,,,
2036,1,23,水,,2464715.125,302.15450346,239.00049979,24.51973380,2035,0,12,26,先勝,己丑,,,
2036,1,24,木,,2464716.125,303.17210169,251.09390063,25.51973380,2035,0,12,27,友引,庚寅,,,
2036,1,25,金,,2464717.125,304.18956424,263.04575670,26.51973380,2035,0,12,28,先負,辛卯,,,
2036,1,26,土,,2464718.125,305.20686809,274.90863216,27.51973380,2035,0,12,29,仏滅,壬辰,,,
2036,1,27,日,,2464719.125,306.22398879,286.72748782,28.51973380,2035,0,12,30,大安,癸巳,,,
2036,1,28,月,,2464720.125,307.24090108,298.54076046,29.51973380,2036,0,1,1,先勝,甲午,,,
2036,1,29,火,,2464721.125,308.25757954,310.38240902,0.69594907,2036,0,1,2,友引,乙未,,,
2036,1,30,水,,2464722.125,309.27399929,322.28453566,1.69594907,2036,0,1,3,先負,丙申,,,
2036,1,31,木,,2464723.125,310.29013658,334.28014539,2.69594907,2036,0,1,4,仏滅,丁酉,,,
2036,2,1,金,,2464724.125,311.30596933,346.40557283,3.69594907,2036,0,1,5,大安,戊戌,,,
2036,2,2,土,,2464725.125,312.32147752,358.70208368,4.69594907,2036,0,1,6,赤口,己亥,,,
2036,2,3,日,,2464726.125,313.33664334,11.21614887,5.69594907,2036,0,1,7,先勝,庚子,,,節分
2036,2,4,月,,2464727.125,314.35145128,23.99790730,6.69594907,2036,0,1,8,友引,辛丑,立春,,
2036,2,5,火,,2464728.125,315.36588802,37.09735994,7.69594907,2036,0,1,9,先負,壬寅,,,
2036,2,6,水,,2464729.125,316.37994227,50.55799822,8.69594907,2036,0,1,10,仏滅,癸卯,,,
2036,2,7,木,,2464730.125,317.39360447,64.40797266,9.69594907,2036,0,1,11,大安,甲辰,,,
2036,2,8,金,,2464731.125,318.40686654,78.64972754,10.69594907,2036,0,1,12,赤口,乙巳,,,
2036,2,9,土,,2464732.125,319.41972200,93.25025494,11.69594907,2036,0,1,13,先勝,丙午,,,
2036,2,10,日,,2464733.125,320.43216665,108.13532486,12.69594907,2036,0,1,14,友引,丁未,,,
2036,2,11,月,建国記念の日,2464734.125,321.44420026,123.19129105,13.69594907,2036,0,1,15,先負,戊申,,,
2036,2,12,火,,2464735.125,322.45582846,138.27639996,14.69594907,2036,0,1,16,仏滅,己酉,,,
2036,2,13,水,,2464736.125,323.46706363,153.24004178,15.69594907,2036,0,1,17,大安,庚戌,,,
2036,2,14,木,,2464737.125,324.47792344,167.94483110,16.69594907,2036,0,1,18,赤口,辛亥,,,
2036,2,15,金,,2464738.125,325.48842708,182.28512458,17.69594907,2036,0,1,19,先勝,壬子,,,
