年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2067,1,1,土,元日,2476016.125,280.23883314,100.37254041,15.11182870,2066,0,11,16,友引,庚戌,,,
2067,1,2,日,,2476017.125,281.25775075,112.17911492,16.11182870,2066,0,11,17,先負,辛亥,,,
2067,1,3,月,,2476018.125,282.27670304,123.99073203,17.11182870,2066,0,11,18,仏滅,壬子,,,
2067,1,4,火,,2476019.125,283.29569094,135.84388851,18.11182870,2066,0,11,19,大安,癸丑,,,
2067,1,5,水,,2476020.125,284.31471617,147.77951512,19.11182870,2066,0,11,20,赤口,甲寅,小寒,,
2067,1,6,木,,2476021.125,285.33378105,159.84453897,20.11182870,2066,0,11,21,先勝,乙卯,,,
2067,1,7,金,,2476022.125,286.35288818,172.09238290,21.11182870,2066,0,11,22,友引,丙辰,,人日,
2067,1,8,土,,2476023.125,287.37203993,184.58199824,22.11182870,2066,0,11,23,先負,丁巳,,,
2067,1,9,日,,2476024.125,288.39123772,197.37498812,23.11182870,2066,0,11,24,仏滅,戊午,,,
2067,1,10,月,成人の日,2476025.125,289.41048088,210.53036912,24.11182870,2066,0,11,25,大安,己未,,,
2067,1,11,火,,2476026.125,290.42976498,224.09664585,25.11182870,2066,0,11,26,赤口,庚申,,,
2067,1,12,水,,2476027.125,291.44907962,238.10132414,26.11182870,2066,0,11,27,先勝,辛酉,,,
2067,1,13,木,,2476028.125,292.46840601,252.53898161,27.11182870,2066,0,11,28,友引,壬戌,,,
2067,1,14,金,,2476029.125,293.48771537,267.36056472,28.11182870,2066,0,11,29,先負,癸亥,,,
2067,1,15,土,,2476030.125,294.50696968,282.46816967,29.11182870,2066,0,12,1,赤口,甲子,,,
2067,1,16,日,,2476031.125,295.52612573,297.71987821,0.65394676,2066,0,12,2,先勝,乙丑,,,
2067,1,17,月,,2476032.125,296.54514133,312.94678520,1.65394676,2066,0,12,3,友引,丙寅,,,土用入(冬)
2067,1,18,火,,2476033.125,297.56398103,327.97921925,2.65394676,2066,0,12,4,先負,丁卯,,,
2067,1,19,水,,2476034.125,298.58261856,342.67415663,3.65394676,2066,0,12,5,仏滅,戊辰,,,
2067,1,20,木,,2476035.125,299.60103584,356.93485792,4.65394676,2066,0,12,6,大安,己巳,大寒,,
2067,1,21,金,,2476036.125,300.61922031,10.71782120,5.65394676,2066,0,12,7,赤口,庚午,,,
2067,1,22,土,,2476037.125,301.63716238,24.02804682,6.65394676,2066,0,12,8,先勝,辛未,,,
2067,1,23,日,,2476038.125,302.65485393,36.90735758,7.65394676,2066,0,12,9,友引,壬申,,,
2067,1,24,月,,2476039.125,303.67228764,49.42084744,8.65394676,2066,0,12,10,先負,癸酉,,,
2067,1,25,火,,2476040.125,304.68945691,61.64480341,9.65394676,2066,0,12,11,仏滅,甲戌,,,
2067,1,26,水,,2476041.125,305.70635597,73.65746996,10.65394676,2066,0,12,12,大安,乙亥,,,
2067,1,27,木,,2476042.125,306.72298004,85.53273602,11.65394676,2066,0,12,13,赤口,丙子,,,
2067,1,28,金,,2476043.125,307.73932563,97.33628725,12.65394676,2066,0,12,14,先勝,丁丑,,,
2067,1,29,土,,2476044.125,308.75539073,109.12370769,13.65394676,2066,0,12,15,友引,戊寅,,,
2067,1,30,日,,2476045.125,309.77117514,120.94015053,14.65394676,2066,0,12,16,先負,己卯,,,
2067,1,31,月,,2476046.125,310.78668065,132.82132691,15.65394676,2066,0,12,17,仏滅,庚辰,,,
2067,2,1,火,,2476047.125,311.80191110,144.79561827,16.65394676,2066,0,12,18,大安,辛巳,,,
2067,2,2,水,,2476048.125,312.81687229,156.88705481,17.65394676,2066,0,12,19,赤口,壬午,,,
2067,2,3,木,,2476049.125,313.83157160,169.11876160,18.65394676,2066,0,12,20,先勝,癸未,,,節分
2067,2,4,金,,2476050.125,314.84601732,181.51631968,19.65394676,2066,0,12,21,友引,甲申,立春,,
2067,2,5,土,,2476051.125,315.86021778,194.11035757,20.65394676,2066,0,12,22,先負,乙酉,,,
2067,2,6,日,,2476052.125,316.87418023,206.93764182,21.65394676,2066,0,12,23,仏滅,丙戌,,,
2067,2,7,月,,2476053.125,317.88790949,220.03994145,22.65394676,2066,0,12,24,大安,丁亥,,,
2067,2,8,火,,2476054.125,318.90140629,233.46003116,23.65394676,2066,0,12,25,赤口,戊子,,,
2067,2,9,水,,2476055.125,319.91466548,247.23440301,24.65394676,2066,0,12,26,先勝,己丑,,,
2067,2,10,木,,2476056.125,320.92767434,261.38276989,25.65394676,2066,0,12,27,友引,庚寅,,,
2067,2,11,金,建国記念の日,2476057.125,321.94041171,275.89551958,26.65394676,2066,0,12,28,先負,辛卯,,,
2067,2,12,土,,2476058.125,322.95284874,290.72201635,27.65394676,2066,0,12,29,仏滅,壬辰,,,
2067,2,13,日,,2476059.125,323.96495185,305.76451733,28.65394676,2066,0,12,30,大安,癸巳,,,
2067,2,14,月,,2476060.125,324.97668726,320.88290108,0.20915509,2067,0,1,1,先勝,甲午,,,
2067,2,15,火,,2476061.125,325.98802501,335.91256549,1.20915509,2067,0,1,2,友引,乙未,,,
2067,2,16,水,,2476062.125,326.99894092,350.69186319,2.20915509,2067,0,1,3,先負,丙申,,,
