年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2095,1,1,土,元日,2486243.125,280.42847953,210.00603448,24.29666667,2094,0,11,25,大安,丁丑,,,
2095,1,2,日,,2486244.125,281.44775703,222.39098182,25.29666667,2094,0,11,26,赤口,戊寅,,,
2095,1,3,月,,2486245.125,282.46714698,235.08454291,26.29666667,2094,0,11,27,先勝,己卯,,,
2095,1,4,火,,2486246.125,283.48663284,248.13534734,27.29666667,2094,0,11,28,友引,庚辰,,,
2095,1,5,水,,2486247.125,284.50619207,261.56828115,28.29666667,2094,0,11,29,先負,辛巳,小寒,,
2095,1,6,木,,2486248.125,285.52579531,275.37803325,29.29666667,2094,0,12,1,赤口,壬午,,,
2095,1,7,金,,2486249.125,286.54540692,289.52528370,0.72500000,2094,0,12,2,先勝,癸未,,人日,
2095,1,8,土,,2486250.125,287.56498746,303.93770052,1.72500000,2094,0,12,3,友引,甲申,,,
2095,1,9,日,,2486251.125,288.58449784,318.51717715,2.72500000,2094,0,12,4,先負,乙酉,,,
2095,1,10,月,成人の日,2486252.125,289.60390375,333.15280389,3.72500000,2094,0,12,5,仏滅,丙戌,,,
2095,1,11,火,,2486253.125,290.62317881,347.73666146,4.72500000,2094,0,12,6,大安,丁亥,,,
2095,1,12,水,,2486254.125,291.64230526,2.17806193,5.72500000,2094,0,12,7,赤口,戊子,,,
2095,1,13,木,,2486255.125,292.66127248,16.41243838,6.72500000,2094,0,12,8,先勝,己丑,,,
2095,1,14,金,,2486256.125,293.68007466,30.40336978,7.72500000,2094,0,12,9,友引,庚寅,,,
2095,1,15,土,,2486257.125,294.69870846,44.13876516,8.72500000,2094,0,12,10,先負,辛卯,,,
2095,1,16,日,,2486258.125,295.71717155,57.62372167,9.72500000,2094,0,12,11,仏滅,壬辰,,,
2095,1,17,月,,2486259.125,296.73546178,70.87271444,10.72500000,2094,0,12,12,大安,癸巳,,,土用入(冬)
2095,1,18,火,,2486260.125,297.75357715,83.90308237,11.72500000,2094,0,12,13,赤口,甲午,,,
2095,1,19,水,,2486261.125,298.77151609,96.73086106,12.72500000,2094,0,12,14,先勝,乙未,,,
2095,1,20,木,,2486262.125,299.78927796,109.36923526,13.72500000,2094,0,12,15,友引,丙申,大寒,,
2095,1,21,金,,2486263.125,300.80686346,121.82932825,14.72500000,2094,0,12,16,先負,丁酉,,,
2095,1,22,土,,2486264.125,301.82427472,134.12268055,15.72500000,2094,0,12,17,仏滅,戊戌,,,
2095,1,23,日,,2486265.125,302.84151515,146.26458729,16.72500000,2094,0,12,18,大安,己亥,,,
2095,1,24,月,,2486266.125,303.85858896,158.27746785,17.72500000,2094,0,12,19,赤口,庚子,,,
2095,1,25,火,,2486267.125,304.87550057,170.19359562,18.72500000,2094,0,12,20,先勝,辛丑,,,
2095,1,26,水,,2486268.125,305.89225397,182.05676851,19.72500000,2094,0,12,21,友引,壬寅,,,
2095,1,27,木,,2486269.125,306.90885219,193.92274884,20.72500000,2094,0,12,22,先負,癸卯,,,
2095,1,28,金,,2486270.125,307.92529682,205.85843877,21.72500000,2094,0,12,23,仏滅,甲辰,,,
2095,1,29,土,,2486271.125,308.94158753,217.93975924,22.72500000,2094,0,12,24,大安,乙巳,,,
2095,1,30,日,,2486272.125,309.95772143,230.24806896,23.72500000,2094,0,12,25,赤口,丙午,,,
2095,1,31,月,,2486273.125,310.97369220,242.86477098,24.72500000,2094,0,12,26,先勝,丁未,,,
2095,2,1,火,,2486274.125,311.98948895,255.86364243,25.72500000,2094,0,12,27,友引,戊申,,,
2095,2,2,水,,2486275.125,313.00509476,269.30060016,26.72500000,2094,0,12,28,先負,己酉,,,節分
2095,2,3,木,,2486276.125,314.02048575,283.20137103,27.72500000,2094,0,12,29,仏滅,庚戌,立春,,
2095,2,4,金,,2486277.125,315.03563108,297.54906484,28.72500000,2094,0,12,30,大安,辛亥,,,
2095,2,5,土,,2486278.125,316.05049504,312.27567419,0.22842593,2095,0,1,1,先勝,壬子,,,
2095,2,6,日,,2486279.125,317.06504099,327.26276060,1.22842593,2095,0,1,2,友引,癸丑,,,
2095,2,7,月,,2486280.125,318.07923597,342.35506330,2.22842593,2095,0,1,3,先負,甲寅,,,
2095,2,8,火,,2486281.125,319.09305385,357.38562220,3.22842593,2095,0,1,4,仏滅,乙卯,,,
2095,2,9,水,,2486282.125,320.10647568,12.20477385,4.22842593,2095,0,1,5,大安,丙辰,,,
2095,2,10,木,,2486283.125,321.11948778,26.70288278,5.22842593,2095,0,1,6,赤口,丁巳,,,
2095,2,11,金,建国記念の日,2486284.125,322.13207944,40.82019660,6.22842593,2095,0,1,7,先勝,戊午,,,
2095,2,12,土,,2486285.125,323.14424141,54.54376339,7.22842593,2095,0,1,8,友引,己未,,,
2095,2,13,日,,2486286.125,324.15596544,67.89609786,8.22842593,2095,0,1,9,先負,庚申,,,
2095,2,14,月,,2486287.125,325.16724458,80.92119535,9.22842593,2095,0,1,10,仏滅,辛酉,,,
2095,2,15,火,,2486288.125,326.17807370,93.67186893,10.22842593,2095,0,1,11,大安,壬戌,,,
2095,2,16,水,,2486289.125,327.18844995,106.20028300,11.22842593,2095,0,1,12,赤口,癸亥,,,
2095,2,17,木,,2486290.125,328.19837308,118.55210012,12.22842593,2095,0,1,13,先勝,甲子,,,
2095,2,18,金,,2486291.125,329.20784553,130.76395655,13.22842593,2095,0,1,14,友引,乙丑,雨水,,
2095,2,19,土,,2486292.125,330.21687239,142.86372374,14.22842593,2095,0,1,15,先負,丙寅,,,
2095,2,20,日,,2486293.125,331.22546097,154.87291057,15.22842593,2095,0,1,16,仏滅,丁卯,,,
2095,2,21,月,,2486294.125,332.23362033,166.81047958,16.22842593,2095,0,1,17,大安,戊辰,,,
2095,2,22,火,,2486295.125,333.24136048,178.69728080,17.22842593,2095,0,1,18,赤口,己巳,,,
2095,2,23,水,,2486296.125,334.24869165,190.56033111,18.22842593,2095,0,1,19,先勝,庚午,,,
2095,2,24,木,,2486297.125,335.25562350,202.43627833,19.22842593,2095,0,1,20,友引,辛未,,,
2095,2,25,金,,2486298.125,336.26216445,214.37358553,20.22842593,2095,0,1,21,先負,壬申,,,
2095,2,26,土,,2486299.125,337.26832102,226.43313255,21.22842593,2095,0,1,22,仏滅,癸酉,,,
2095,2,27,日,,2486300.125,338.27409723,238.68699027,22.22842593,2095,0,1,23,大安,甲戌,,,
2095,2,28,月,,2486301.125,339.27949379,251.21502360,23.22842593,2095,0,1,24,赤口,乙亥,,,
2095,3,1,火,,2486302.125,340.28450722,264.09877624,24.22842593,2095,0,1,25,先勝,丙子,,,
2095,3,2,水,,2486303.125,341.28912886,277.41196004,25.22842593,2095,0,1,26,友引,丁丑,,,
2095,3,3,木,,2486304.125,342.29334402,291.20716660,26.22842593,2095,0,1,27,先負,戊寅,,上巳,
2095,3,4,金,,2486305.125,343.29713200,305.49963316,27.22842593,2095,0,1,28,仏滅,己卯,,,
2095,3,5,土,,2486306.125,344.30046750,320.25135650,28.22842593,2095,0,1,29,大安,庚辰,啓蟄,,
2095,3,6,日,,2486307.125,345.30332353,335.36188601,29.22842593,2095,0,2,1,友引,辛巳,,,
2095,3,7,月,,2486308.125,346.30567492,350.67329722,0.80453704,2095,0,2,2,先負,壬午,,,
2095,3,8,火,,2486309.125,347.30750049,5.99298632,1.80453704,2095,0,2,3,仏滅,癸未,,,
2095,3,9,水,,2486310.125,348.30878291,21.12909035,2.80453704,2095,0,2,4,大安,甲申,,,
2095,3,10,木,,2486311.125,349.30950691,35.92550279,3.80453704,2095,0,2,5,赤口,乙酉,,,
2095,3,11,金,,2486312.125,350.30965773,50.28367159,4.80453704,2095,0,2,6,先勝,丙戌,,,
2095,3,12,土,,2486313.125,351.30922112,64.16645042,5.80453704,2095,0,2,7,友引,丁亥,,,
2095,3,13,日,,2486314.125,352.30818433,77.58802063,6.80453704,2095,0,2,8,先負,戊子,,,
2095,3,14,月,,2486315.125,353.30653750,90.59751918,7.80453704,2095,0,2,9,仏滅,己丑,,,
2095,3,15,火,,2486316.125,354.30427443,103.26267448,8.80453704,2095,0,2,10,大安,庚寅,,,
2095,3,16,水,,2486317.125,355.30139289,115.65667887,9.80453704,2095,0,2,11,赤口,辛卯,,,
2095,3,17,木,,2486318.125,356.29789456,127.84911277,10.80453704,2095,0,2,12,先勝,壬辰,,,彼岸入(春)
2095,3,18,金,,2486319.125,357.29378472,139.90055739,11.80453704,2095,0,2,13,友引,癸巳,,,
