年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1922,1,1,日,,2423055.125,279.42360101,306.28947154,2.88964120,1921,0,12,4,先負,己巳,,,
1922,1,2,月,,2423056.125,280.44320065,318.26988213,3.88964120,1921,0,12,5,仏滅,庚午,,,
1922,1,3,火,,2423057.125,281.46275709,330.13139764,4.88964120,1921,0,12,6,大安,辛未,,,
1922,1,4,水,,2423058.125,282.48225134,341.92820722,5.88964120,1921,0,12,7,赤口,壬申,,,
1922,1,5,木,,2423059.125,283.50166706,353.72954915,6.88964120,1921,0,12,8,先勝,癸酉,,,
1922,1,6,金,,2423060.125,284.52099036,5.61710661,7.88964120,1921,0,12,9,友引,甲戌,小寒,,
1922,1,7,土,,2423061.125,285.54020964,17.68111902,8.88964120,1921,0,12,10,先負,乙亥,,人日,
1922,1,8,日,,2423062.125,286.55931553,30.01492316,9.88964120,1921,0,12,11,仏滅,丙子,,,
1922,1,9,月,,2423063.125,287.57830079,42.70735810,10.88964120,1921,0,12,12,大安,丁丑,,,
1922,1,10,火,,2423064.125,288.59716020,55.83247590,11.88964120,1921,0,12,13,赤口,戊寅,,,
1922,1,11,水,,2423065.125,289.61589036,69.43662709,12.88964120,1921,0,12,14,先勝,己卯,,,
1922,1,12,木,,2423066.125,290.63448933,83.52452935,13.88964120,1921,0,12,15,友引,庚辰,,,
1922,1,13,金,,2423067.125,291.65295660,98.04822213,14.88964120,1921,0,12,16,先負,辛巳,,,
1922,1,14,土,,2423068.125,292.67129355,112.90462779,15.88964120,1921,0,12,17,仏滅,壬午,,,
1922,1,15,日,,2423069.125,293.68950455,127.94651930,16.88964120,1921,0,12,18,大安,癸未,,,
1922,1,16,月,,2423070.125,294.70759782,143.00663372,17.88964120,1921,0,12,19,赤口,甲申,,,
1922,1,17,火,,2423071.125,295.72558496,157.92772644,18.88964120,1921,0,12,20,先勝,乙酉,,,
1922,1,18,水,,2423072.125,296.74347858,172.58780060,19.88964120,1921,0,12,21,友引,丙戌,,,土用入(冬)
1922,1,19,木,,2423073.125,297.76128878,186.91271212,20.88964120,1921,0,12,22,先負,丁亥,,,
1922,1,20,金,,2423074.125,298.77902004,200.87514517,21.88964120,1921,0,12,23,仏滅,戊子,,,
1922,1,21,土,,2423075.125,299.79666964,214.48433320,22.88964120,1921,0,12,24,大安,己丑,大寒,,
1922,1,22,日,,2423076.125,300.81422756,227.77231076,23.88964120,1921,0,12,25,赤口,庚寅,,,
1922,1,23,月,,2423077.125,301.83167755,240.78105370,24.88964120,1921,0,12,26,先勝,辛卯,,,
1922,1,24,火,,2423078.125,302.84899855,253.55273958,25.88964120,1921,0,12,27,友引,壬辰,,,
1922,1,25,水,,2423079.125,303.86616623,266.12378745,26.88964120,1921,0,12,28,先負,癸巳,,,
1922,1,26,木,,2423080.125,304.88315436,278.52248961,27.88964120,1921,0,12,29,仏滅,甲午,,,
1922,1,27,金,,2423081.125,305.89993609,290.76964936,28.88964120,1921,0,12,30,大安,乙未,,,
1922,1,28,土,,2423082.125,306.91648490,302.88143223,0.13355324,1922,0,1,1,先勝,丙申,,,
1922,1,29,日,,2423083.125,307.93277547,314.87350844,1.13355324,1922,0,1,2,友引,丁酉,,,
