年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1908,1,1,水,元日,2417941.125,278.79580032,233.79652161,26.69318287,1907,0,11,28,友引,乙卯,,,
1908,1,2,木,,2417942.125,279.81551632,248.14678117,27.69318287,1907,0,11,29,先負,丙辰,,,
1908,1,3,金,,2417943.125,280.83531409,262.88468767,28.69318287,1907,0,11,30,仏滅,丁巳,,,
1908,1,4,土,,2417944.125,281.85515737,277.90604962,0.22025463,1907,0,12,1,赤口,戊午,,,
1908,1,5,日,,2417945.125,282.87500283,293.07017379,1.22025463,1907,0,12,2,先勝,己未,,,
1908,1,6,月,,2417946.125,283.89480560,308.21866714,2.22025463,1907,0,12,3,友引,庚申,,,
1908,1,7,火,,2417947.125,284.91452594,323.19910361,3.22025463,1907,0,12,4,先負,辛酉,小寒,人日,
1908,1,8,水,,2417948.125,285.93413354,337.88656402,4.22025463,1907,0,12,5,仏滅,壬戌,,,
1908,1,9,木,,2417949.125,286.95360836,352.19713098,5.22025463,1907,0,12,6,大安,癸亥,,,
1908,1,10,金,,2417950.125,287.97293854,6.09117989,6.22025463,1907,0,12,7,赤口,甲子,,,
1908,1,11,土,,2417951.125,288.99211748,19.56821082,7.22025463,1907,0,12,8,先勝,乙丑,,,
1908,1,12,日,,2417952.125,290.01114133,32.65698035,8.22025463,1907,0,12,9,友引,丙寅,,,
1908,1,13,月,成人の日,2417953.125,291.03000740,45.40458067,9.22025463,1907,0,12,10,先負,丁卯,,,
1908,1,14,火,,2417954.125,292.04871340,57.86686372,10.22025463,1907,0,12,11,仏滅,戊辰,,,
1908,1,15,水,,2417955.125,293.06725714,70.10127267,11.22025463,1907,0,12,12,大安,己巳,,,
1908,1,16,木,,2417956.125,294.08563650,82.16222949,12.22025463,1907,0,12,13,赤口,庚午,,,
1908,1,17,金,,2417957.125,295.10384964,94.09878667,13.22025463,1907,0,12,14,先勝,辛未,,,
1908,1,18,土,,2417958.125,296.12189516,105.95410516,14.22025463,1907,0,12,15,友引,壬申,,,土用入(冬)
1908,1,19,日,,2417959.125,297.13977242,117.76632031,15.22025463,1907,0,12,16,先負,癸酉,,,
1908,1,20,月,,2417960.125,298.15748171,129.57037245,16.22025463,1907,0,12,17,仏滅,甲戌,,,
1908,1,21,火,,2417961.125,299.17502441,141.40039975,17.22025463,1907,0,12,18,大安,乙亥,大寒,,
1908,1,22,水,,2417962.125,300.19240296,153.29228067,18.22025463,1907,0,12,19,赤口,丙子,,,
1908,1,23,木,,2417963.125,301.20962072,165.28590950,19.22025463,1907,0,12,20,先勝,丁丑,,,
1908,1,24,金,,2417964.125,302.22668165,177.42678490,20.22025463,1907,0,12,21,友引,戊寅,,,
1908,1,25,土,,2417965.125,303.24358983,189.76648597,21.22025463,1907,0,12,22,先負,己卯,,,
1908,1,26,日,,2417966.125,304.26034886,202.36159151,22.22025463,1907,0,12,23,仏滅,庚辰,,,
1908,1,27,月,,2417967.125,305.27696090,215.27057732,23.22025463,1907,0,12,24,大安,辛巳,,,
1908,1,28,火,,2417968.125,306.29342541,228.54824125,24.22025463,1907,0,12,25,赤口,壬午,,,
1908,1,29,水,,2417969.125,307.30973726,242.23738957,25.22025463,1907,0,12,26,先勝,癸未,,,
1908,1,30,木,,2417970.125,308.32588459,256.35806137,26.22025463,1907,0,12,27,友引,甲申,,,
1908,1,31,金,,2417971.125,309.34184675,270.89567164,27.22025463,1907,0,12,28,先負,乙酉,,,
1908,2,1,土,,2417972.125,310.35759359,285.79106461,28.22025463,1907,0,12,29,仏滅,丙戌,,,
1908,2,2,日,,2417973.125,311.37308732,300.93693189,29.22025463,1908,0,1,1,先勝,丁亥,,,
1908,2,3,月,,2417974.125,312.38828728,316.18492971,0.76672454,1908,0,1,2,友引,戊子,,,
1908,2,4,火,,2417975.125,313.40315589,331.36481107,1.76672454,1908,0,1,3,先負,己丑,,,節分
1908,2,5,水,,2417976.125,314.41766294,346.31147563,2.76672454,1908,0,1,4,仏滅,庚寅,立春,,
1908,2,6,木,,2417977.125,315.43178655,0.89136483,3.76672454,1908,0,1,5,大安,辛卯,,,
1908,2,7,金,,2417978.125,316.44551147,15.01970172,4.76672454,1908,0,1,6,赤口,壬辰,,,
1908,2,8,土,,2417979.125,317.45882653,28.66484601,5.76672454,1908,0,1,7,先勝,癸巳,,,
1908,2,9,日,,2417980.125,318.47172275,41.84175547,6.76672454,1908,0,1,8,友引,甲午,,,
1908,2,10,月,,2417981.125,319.48419242,54.59960705,7.76672454,1908,0,1,9,先負,乙未,,,
1908,2,11,火,建国記念の日,2417982.125,320.49622886,67.00838466,8.76672454,1908,0,1,10,仏滅,丙申,,,
1908,2,12,水,,2417983.125,321.50782649,79.14733717,9.76672454,1908,0,1,11,大安,丁酉,,,
1908,2,13,木,,2417984.125,322.51898096,91.09633183,10.76672454,1908,0,1,12,赤口,戊戌,,,
1908,2,14,金,,2417985.125,323.52968939,102.93000632,11.76672454,1908,0,1,13,先勝,己亥,,,
1908,2,15,土,,2417986.125,324.53995055,114.71421303,12.76672454,1908,0,1,14,友引,庚子,,,
1908,2,16,日,,2417987.125,325.54976510,126.50426060,13.76672454,1908,0,1,15,先負,辛丑,,,
1908,2,17,月,,2417988.125,326.55913584,138.34462023,14.76672454,1908,0,1,16,仏滅,壬寅,,,
1908,2,18,火,,2417989.125,327.56806784,150.26990474,15.76672454,1908,0,1,17,大安,癸卯,,,
1908,2,19,水,,2417990.125,328.57656839,162.30696898,16.76672454,1908,0,1,18,赤口,甲辰,,,
1908,2,20,木,,2417991.125,329.58464678,174.47790426,17.76672454,1908,0,1,19,先勝,乙巳,雨水,,
1908,2,21,金,,2417992.125,330.59231376,186.80353170,18.76672454,1908,0,1,20,友引,丙午,,,
1908,2,22,土,,2417993.125,331.59958069,199.30681287,19.76672454,1908,0,1,21,先負,丁未,,,
1908,2,23,日,,2417994.125,332.60645856,212.01544289,20.76672454,1908,0,1,22,仏滅,戊申,,,
1908,2,24,月,,2417995.125,333.61295663,224.96284046,21.76672454,1908,0,1,23,大安,己酉,,,
1908,2,25,火,,2417996.125,334.61908102,238.18677490,22.76672454,1908,0,1,24,赤口,庚戌,,,
1908,2,26,水,,2417997.125,335.62483311,251.72500319,23.76672454,1908,0,1,25,先勝,辛亥,,,
1908,2,27,木,,2417998.125,336.63020784,265.60758416,24.76672454,1908,0,1,26,友引,壬子,,,
1908,2,28,金,,2417999.125,337.63519259,279.84617076,25.76672454,1908,0,1,27,先負,癸丑,,,
1908,2,29,土,,2418000.125,338.63976705,294.42178370,26.76672454,1908,0,1,28,仏滅,甲寅,,,
1908,3,1,日,,2418001.125,339.64390476,309.27432914,27.76672454,1908,0,1,29,大安,乙卯,,,
1908,3,2,月,,2418002.125,340.64757653,324.29871741,28.76672454,1908,0,1,30,赤口,丙辰,,,
1908,3,3,火,,2418003.125,341.65075442,339.35221420,0.33582176,1908,0,2,1,友引,丁巳,,上巳,
1908,3,4,水,,2418004.125,342.65341463,354.27414448,1.33582176,1908,0,2,2,先負,戊午,,,
1908,3,5,木,,2418005.125,343.65553805,8.91310759,2.33582176,1908,0,2,3,仏滅,己未,,,
1908,3,6,金,,2418006.125,344.65710908,23.15245910,3.33582176,1908,0,2,4,大安,庚申,啓蟄,,
1908,3,7,土,,2418007.125,345.65811404,36.92569497,4.33582176,1908,0,2,5,赤口,辛酉,,,
1908,3,8,日,,2418008.125,346.65854043,50.21886332,5.33582176,1908,0,2,6,先勝,壬戌,,,
1908,3,9,月,,2418009.125,347.65837700,63.06282090,6.33582176,1908,0,2,7,友引,癸亥,,,
1908,3,10,火,,2418010.125,348.65761414,75.52061001,7.33582176,1908,0,2,8,先負,甲子,,,
1908,3,11,水,,2418011.125,349.65624441,87.67445130,8.33582176,1908,0,2,9,仏滅,乙丑,,,
1908,3,12,木,,2418012.125,350.65426270,99.61476580,9.33582176,1908,0,2,10,大安,丙寅,,,
1908,3,13,金,,2418013.125,351.65166640,111.43185449,10.33582176,1908,0,2,11,赤口,丁卯,,,
1908,3,14,土,,2418014.125,352.64845551,123.20990813,11.33582176,1908,0,2,12,先勝,戊辰,,,
1908,3,15,日,,2418015.125,353.64463277,135.02277224,12.33582176,1908,0,2,13,友引,己巳,,,
1908,3,16,月,,2418016.125,354.64020388,146.93103970,13.33582176,1908,0,2,14,先負,庚午,,,
