年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1980,1,1,火,元日,2444239.125,279.33287170,78.18537843,12.77543981,1979,0,11,14,赤口,癸酉,,,
1980,1,2,水,,2444240.125,280.35180417,91.37138344,13.77543981,1979,0,11,15,先勝,甲戌,,,
1980,1,3,木,,2444241.125,281.37073598,104.30871080,14.77543981,1979,0,11,16,友引,乙亥,,,
1980,1,4,金,,2444242.125,282.38968045,116.98425372,15.77543981,1979,0,11,17,先負,丙子,,,
1980,1,5,土,,2444243.125,283.40863934,129.40222566,16.77543981,1979,0,11,18,仏滅,丁丑,,,
1980,1,6,日,,2444244.125,284.42761450,141.58606793,17.77543981,1979,0,11,19,大安,戊寅,小寒,,
1980,1,7,月,,2444245.125,285.44660754,153.57790946,18.77543981,1979,0,11,20,赤口,己卯,,人日,
1980,1,8,火,,2444246.125,286.46561938,165.43637231,19.77543981,1979,0,11,21,先勝,庚辰,,,
1980,1,9,水,,2444247.125,287.48464994,177.23339238,20.77543981,1979,0,11,22,友引,辛巳,,,
1980,1,10,木,,2444248.125,288.50369772,189.05047595,21.77543981,1979,0,11,23,先負,壬午,,,
1980,1,11,金,,2444249.125,289.52275961,200.97447709,22.77543981,1979,0,11,24,仏滅,癸未,,,
1980,1,12,土,,2444250.125,290.54183044,213.09269037,23.77543981,1979,0,11,25,大安,甲申,,,
1980,1,13,日,,2444251.125,291.56090245,225.48690678,24.77543981,1979,0,11,26,赤口,乙酉,,,
1980,1,14,月,,2444252.125,292.57996445,238.22618046,25.77543981,1979,0,11,27,先勝,丙戌,,,
1980,1,15,火,成人の日,2444253.125,293.59900075,251.35849574,26.77543981,1979,0,11,28,友引,丁亥,,,
1980,1,16,水,,2444254.125,294.61798998,264.90234841,27.77543981,1979,0,11,29,先負,戊子,,,
1980,1,17,木,,2444255.125,295.63690440,278.84026715,28.77543981,1979,0,11,30,仏滅,己丑,,,
1980,1,18,金,,2444256.125,296.65571036,293.11694873,0.23655093,1979,0,12,1,赤口,庚寅,,,土用入(冬)
1980,1,19,土,,2444257.125,297.67437054,307.64417336,1.23655093,1979,0,12,2,先勝,辛卯,,,
1980,1,20,日,,2444258.125,298.69284756,322.31263069,2.23655093,1979,0,12,3,友引,壬辰,,,
1980,1,21,月,,2444259.125,299.71110814,337.00798029,3.23655093,1979,0,12,4,先負,癸巳,大寒,,
1980,1,22,火,,2444260.125,300.72912574,351.62657716,4.23655093,1979,0,12,5,仏滅,甲午,,,
1980,1,23,水,,2444261.125,301.74688121,6.08661833,5.23655093,1979,0,12,6,大安,乙未,,,
1980,1,24,木,,2444262.125,302.76436148,20.33267890,6.23655093,1979,0,12,7,赤口,丙申,,,
1980,1,25,金,,2444263.125,303.78155764,34.33420388,7.23655093,1979,0,12,8,先勝,丁酉,,,
1980,1,26,土,,2444264.125,304.79846323,48.08014497,8.23655093,1979,0,12,9,友引,戊戌,,,
1980,1,27,日,,2444265.125,305.81507329,61.57226441,9.23655093,1979,0,12,10,先負,己亥,,,
1980,1,28,月,,2444266.125,306.83138397,74.81908587,10.23655093,1979,0,12,11,仏滅,庚子,,,
1980,1,29,火,,2444267.125,307.84739262,87.83163567,11.23655093,1979,0,12,12,大安,辛丑,,,
1980,1,30,水,,2444268.125,308.86309799,100.62135300,12.23655093,1979,0,12,13,赤口,壬寅,,,
1980,1,31,木,,2444269.125,309.87850051,113.19998112,13.23655093,1979,0,12,14,先勝,癸卯,,,
1980,2,1,金,,2444270.125,310.89360241,125.58091887,14.23655093,1979,0,12,15,友引,甲辰,,,
1980,2,2,土,,2444271.125,311.90840757,137.78136851,15.23655093,1979,0,12,16,先負,乙巳,,,
1980,2,3,日,,2444272.125,312.92292122,149.82464620,16.23655093,1979,0,12,17,仏滅,丙午,,,
1980,2,4,月,,2444273.125,313.93714937,161.74216240,17.23655093,1979,0,12,18,大安,丁未,,,節分
1980,2,5,火,,2444274.125,314.95109815,173.57475846,18.23655093,1979,0,12,19,赤口,戊申,立春,,
1980,2,6,水,,2444275.125,315.96477323,185.37324871,19.23655093,1979,0,12,20,先勝,己酉,,,
1980,2,7,木,,2444276.125,316.97817922,197.19810166,20.23655093,1979,0,12,21,友引,庚戌,,,
1980,2,8,金,,2444277.125,317.99131922,209.11820021,21.23655093,1979,0,12,22,先負,辛亥,,,
1980,2,9,土,,2444278.125,319.00419440,221.20853378,22.23655093,1979,0,12,23,仏滅,壬子,,,
1980,2,10,日,,2444279.125,320.01680344,233.54656705,23.23655093,1979,0,12,24,大安,癸丑,,,
1980,2,11,月,建国記念の日,2444280.125,321.02914181,246.20693916,24.23655093,1979,0,12,25,赤口,甲寅,,,
1980,2,12,火,,2444281.125,322.04120082,259.25420847,25.23655093,1979,0,12,26,先勝,乙卯,,,
1980,2,13,水,,2444282.125,323.05296654,272.73371149,26.23655093,1979,0,12,27,友引,丙辰,,,
1980,2,14,木,,2444283.125,324.06441890,286.66138047,27.23655093,1979,0,12,28,先負,丁巳,,,
1980,2,15,金,,2444284.125,325.07553172,301.01452793,28.23655093,1979,0,12,29,仏滅,戊午,,,
1980,2,16,土,,2444285.125,326.08627428,315.72671244,29.23655093,1980,0,1,1,先勝,己未,,,
1980,2,17,日,,2444286.125,327.09661436,330.68999602,0.75634259,1980,0,1,2,友引,庚申,,,
1980,2,18,月,,2444287.125,328.10652201,345.76632706,1.75634259,1980,0,1,3,先負,辛酉,,,
1980,2,19,火,,2444288.125,329.11597213,0.80652559,2.75634259,1980,0,1,4,仏滅,壬戌,雨水,,
1980,2,20,水,,2444289.125,330.12494482,15.67197203,3.75634259,1980,0,1,5,大安,癸亥,,,
1980,2,21,木,,2444290.125,331.13342426,30.25277089,4.75634259,1980,0,1,6,赤口,甲子,,,
1980,2,22,金,,2444291.125,332.14139720,44.47785472,5.75634259,1980,0,1,7,先勝,乙丑,,,
1980,2,23,土,,2444292.125,333.14885225,58.31600819,6.75634259,1980,0,1,8,友引,丙寅,,,
1980,2,24,日,,2444293.125,334.15577994,71.76993638,7.75634259,1980,0,1,9,先負,丁卯,,,
1980,2,25,月,,2444294.125,335.16217315,84.86684046,8.75634259,1980,0,1,10,仏滅,戊辰,,,
1980,2,26,火,,2444295.125,336.16802747,97.64860055,9.75634259,1980,0,1,11,大安,己巳,,,
1980,2,27,水,,2444296.125,337.17334146,110.16350467,10.75634259,1980,0,1,12,赤口,庚午,,,
1980,2,28,木,,2444297.125,338.17811663,122.46033276,11.75634259,1980,0,1,13,先勝,辛未,,,
1980,2,29,金,,2444298.125,339.18235738,134.58485437,12.75634259,1980,0,1,14,友引,壬申,,,
1980,3,1,土,,2444299.125,341.18926563,158.47824959,13.75634259,1980,0,1,15,先負,癸酉,,,
1980,3,2,日,,2444300.125,341.18926564,158.47824977,14.75634259,1980,0,1,16,仏滅,甲戌,,,
1980,3,3,月,,2444301.125,342.19195305,170.31880418,15.75634259,1980,0,1,17,大安,乙亥,,上巳,
1980,3,4,火,,2444302.125,343.19414461,182.13400901,16.75634259,1980,0,1,18,赤口,丙子,,,
1980,3,5,水,,2444303.125,344.19585222,193.95965590,17.75634259,1980,0,1,19,先勝,丁丑,啓蟄,,
1980,3,6,木,,2444304.125,345.19708727,205.83569434,18.75634259,1980,0,1,20,友引,戊寅,,,
1980,3,7,金,,2444305.125,346.19785998,217.80797993,19.75634259,1980,0,1,21,先負,己卯,,,
1980,3,8,土,,2444306.125,347.19817880,229.92911684,20.75634259,1980,0,1,22,仏滅,庚辰,,,
1980,3,9,日,,2444307.125,348.19804985,242.25803083,21.75634259,1980,0,1,23,大安,辛巳,,,
1980,3,10,月,,2444308.125,349.19747630,254.85787900,22.75634259,1980,0,1,24,赤口,壬午,,,
1980,3,11,火,,2444309.125,350.19645768,267.79186458,23.75634259,1980,0,1,25,先勝,癸未,,,
1980,3,12,水,,2444310.125,351.19498912,281.11655310,24.75634259,1980,0,1,26,友引,甲申,,,
1980,3,13,木,,2444311.125,352.19306080,294.87254062,25.75634259,1980,0,1,27,先負,乙酉,,,
1980,3,14,金,,2444312.125,353.19065788,309.07302388,26.75634259,1980,0,1,28,仏滅,丙戌,,,
1980,3,15,土,,2444313.125,354.18776148,323.69212007,27.75634259,1980,0,1,29,大安,丁亥,,,
1980,3,16,日,,2444314.125,355.18435062,338.65646885,28.75634259,1980,0,1,30,赤口,戊子,,,社日(春)
1980,3,17,月,,2444315.125,356.18040455,353.84478965,0.33620370,1980,0,2,1,友引,己丑,,,彼岸入(春)
1980,3,18,火,,2444316.125,357.17590427,9.09909421,1.33620370,1980,0,2,2,先負,庚寅,,,
1980,3,19,水,,2444317.125,358.17083237,24.24722893,2.33620370,1980,0,2,3,仏滅,辛卯,,,
1980,3,20,木,春分の日,2444318.125,359.16517213,39.13083114,3.33620370,1980,0,2,4,大安,壬辰,春分,,彼岸(春)
1980,3,21,金,,2444319.125,0.15890701,53.62950601,4.33620370,1980,0,2,5,赤口,癸巳,,,
1980,3,22,土,,2444320.125,1.15202147,67.67390501,5.33620370,1980,0,2,6,先勝,甲午,,,
1980,3,23,日,,2444321.125,2.14450242,81.24600229,6.33620370,1980,0,2,7,友引,乙未,,,彼岸明(春)
1980,3,24,月,,2444322.125,3.13634051,94.36999654,7.33620370,1980,0,2,8,先負,丙申,,,
1980,3,25,火,,2444323.125,4.12753080,107.09913642,8.33620370,1980,0,2,9,仏滅,丁酉,,,
1980,3,26,水,,2444324.125,5.11807272,119.50275071,9.33620370,1980,0,2,10,大安,戊戌,,,
1980,3,27,木,,2444325.125,6.10796975,131.65572740,10.33620370,1980,0,2,11,赤口,己亥,,,
1980,3,28,金,,2444326.125,7.09722890,143.63103379,11.33620370,1980,0,2,12,先勝,庚子,,,
1980,3,29,土,,2444327.125,8.08586030,155.49500790,12.33620370,1980,0,2,13,友引,辛丑,,,
1980,3,30,日,,2444328.125,9.07387665,167.30490224,13.33620370,1980,0,2,14,先負,壬寅,,,
1980,3,31,月,,2444329.125,12.03439059,202.84210119,14.33620370,1980,0,2,15,仏滅,癸卯,,,
1980,4,1,火,,2444330.125,13.02010679,214.83140982,15.33620370,1980,0,2,16,大安,甲辰,,,
1980,4,2,水,,2444331.125,12.03439062,202.84210156,16.33620370,1980,0,2,17,赤口,乙巳,,,
1980,4,3,木,,2444332.125,13.02010682,214.83141020,17.33620370,1980,0,2,18,先勝,丙午,,,
1980,4,4,金,,2444333.125,14.00529021,226.93772329,18.33620370,1980,0,2,19,友引,丁未,,,
1980,4,5,土,,2444334.125,14.98995593,239.18974918,19.33620370,1980,0,2,20,先負,戊申,清明,,
1980,4,6,日,,2444335.125,15.97411703,251.62120336,20.33620370,1980,0,2,21,仏滅,己酉,,,
1980,4,7,月,,2444336.125,16.95778392,264.27215257,21.33620370,1980,0,2,22,大安,庚戌,,,
1980,4,8,火,,2444337.125,17.94096387,277.18839641,22.33620370,1980,0,2,23,赤口,辛亥,,,
1980,4,9,水,,2444338.125,18.92366073,290.41824936,23.33620370,1980,0,2,24,先勝,壬子,,,
1980,4,10,木,,2444339.125,19.90587476,304.00619261,24.33620370,1980,0,2,25,友引,癸丑,,,
1980,4,11,金,,2444340.125,20.88760290,317.98319975,25.33620370,1980,0,2,26,先負,甲寅,,,
1980,4,12,土,,2444341.125,21.86883936,332.35437041,26.33620370,1980,0,2,27,仏滅,乙卯,,,
1980,4,13,日,,2444342.125,22.84957655,347.08607146,27.33620370,1980,0,2,28,大安,丙辰,,,
1980,4,14,月,,2444343.125,23.82980589,2.09684315,28.33620370,1980,0,2,29,赤口,丁巳,,,
1980,4,15,火,,2444344.125,24.80951763,17.25763603,29.33620370,1980,0,3,1,先負,戊午,,,
1980,4,16,水,,2444345.125,25.78869988,32.40542204,0.96789352,1980,0,3,2,仏滅,己未,,,
1980,4,17,木,,2444346.125,26.76733760,47.36890537,1.96789352,1980,0,3,3,大安,庚申,,,土用入(春)
1980,4,18,金,,2444347.125,27.74541299,61.99846753,2.96789352,1980,0,3,4,赤口,辛酉,,,
1980,4,19,土,,2444348.125,28.72290762,76.18975303,3.96789352,1980,0,3,5,先勝,壬戌,,,
1980,4,20,日,,2444349.125,29.69980532,89.89393876,4.96789352,1980,0,3,6,友引,癸亥,穀雨,,
1980,4,21,月,,2444350.125,30.67609450,103.11463580,5.96789352,1980,0,3,7,先負,甲子,,,
1980,4,22,火,,2444351.125,31.65176922,115.89633134,6.96789352,1980,0,3,8,仏滅,乙丑,,,
1980,4,23,水,,2444352.125,32.62682914,128.31013676,7.96789352,1980,0,3,9,大安,丙寅,,,
1980,4,24,木,,2444353.125,33.60127881,140.44076063,8.96789352,1980,0,3,10,赤口,丁卯,,,
1980,4,25,金,,2444354.125,34.57512686,152.37632608,9.96789352,1980,0,3,11,先勝,戊辰,,,
1980,4,26,土,,2444355.125,35.54838529,164.20112057,10.96789352,1980,0,3,12,友引,己巳,,,
1980,4,27,日,,2444356.125,36.52106887,175.99074335,11.96789352,1980,0,3,13,先負,庚午,,,
1980,4,28,月,,2444357.125,37.49319468,187.80908102,12.96789352,1980,0,3,14,仏滅,辛未,,,
1980,4,29,火,天皇誕生日,2444358.125,38.46478168,199.70676947,13.96789352,1980,0,3,15,大安,壬申,,,
1980,4,30,水,,2444359.125,39.43585012,211.72104894,14.96789352,1980,0,3,16,赤口,癸酉,,,
1980,5,1,木,,2444360.125,40.40642092,223.87705464,15.96789352,1980,0,3,17,先勝,甲戌,,,
1980,5,2,金,,2444361.125,41.37651487,236.19054378,16.96789352,1980,0,3,18,友引,乙亥,,,八十八夜
1980,5,3,土,憲法記念日,2444362.125,42.34615183,248.67181551,17.96789352,1980,0,3,19,先負,丙子,,,
1980,5,4,日,,2444363.125,43.31535009,261.33024379,18.96789352,1980,0,3,20,仏滅,丁丑,,,
1980,5,5,月,こどもの日,2444364.125,44.28412576,274.17850838,19.96789352,1980,0,3,21,大安,戊寅,立夏,端午,
1980,5,6,火,,2444365.125,45.25249261,287.23543997,20.96789352,1980,0,3,22,赤口,己卯,,,
1980,5,7,水,,2444366.125,46.22046199,300.52642367,21.96789352,1980,0,3,23,先勝,庚辰,,,
