年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1934,1,1,月,元日,2427438.125,279.51132872,96.85467249,15.00518519,1933,0,11,16,友引,壬申,,,
1934,1,2,火,,2427439.125,280.53029475,108.68529709,16.00518519,1933,0,11,17,先負,癸酉,,,
1934,1,3,水,,2427440.125,281.54927526,120.52770605,17.00518519,1933,0,11,18,仏滅,甲戌,,,
1934,1,4,木,,2427441.125,282.56827041,132.41640182,18.00518519,1933,0,11,19,大安,乙亥,,,
1934,1,5,金,,2427442.125,283.58728135,144.39362905,19.00518519,1933,0,11,20,赤口,丙子,,,
1934,1,6,土,,2427443.125,284.60631025,156.51066060,20.00518519,1933,0,11,21,先勝,丁丑,小寒,,
1934,1,7,日,,2427444.125,285.62536006,168.82748224,21.00518519,1933,0,11,22,友引,戊寅,,人日,
1934,1,8,月,成人の日,2427445.125,286.64443403,181.41045091,22.00518519,1933,0,11,23,先負,己卯,,,
1934,1,9,火,,2427446.125,287.66353494,194.32742831,23.00518519,1933,0,11,24,仏滅,庚辰,,,
1934,1,10,水,,2427447.125,288.68266394,207.63991609,24.00518519,1933,0,11,25,大安,辛巳,,,
1934,1,11,木,,2427448.125,289.70181858,221.39207297,25.00518519,1933,0,11,26,赤口,壬午,,,
1934,1,12,金,,2427449.125,290.72099035,235.59749423,26.00518519,1933,0,11,27,先勝,癸未,,,
1934,1,13,土,,2427450.125,291.74016188,250.22639528,27.00518519,1933,0,11,28,友引,甲申,,,
1934,1,14,日,,2427451.125,292.75930492,265.19780568,28.00518519,1933,0,11,29,先負,乙酉,,,
1934,1,15,月,,2427452.125,293.77838100,280.38199310,29.00518519,1933,0,12,1,赤口,丙戌,,,
1934,1,16,火,,2427453.125,294.79734556,295.61583118,0.55770833,1933,0,12,2,先勝,丁亥,,,
1934,1,17,水,,2427454.125,295.81615472,310.72831832,1.55770833,1933,0,12,3,友引,戊子,,,
1934,1,18,木,,2427455.125,296.83477156,325.56822799,2.55770833,1933,0,12,4,先負,己丑,,,土用入(冬)
1934,1,19,金,,2427456.125,297.85316899,340.02492279,3.55770833,1933,0,12,5,仏滅,庚寅,,,
