年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2001,1,1,月,元日,2451910.125,280.25113614,344.18705419,6.40166667,2000,0,12,7,赤口,甲子,,,
2001,1,2,火,,2451911.125,281.27050561,356.30245205,7.40166667,2000,0,12,8,先勝,乙丑,,,
2001,1,3,水,,2451912.125,282.28981434,8.66846132,8.40166667,2000,0,12,9,友引,丙寅,,,
2001,1,4,木,,2451913.125,283.30905186,21.35802805,9.40166667,2000,0,12,10,先負,丁卯,,,
2001,1,5,金,,2451914.125,284.32821095,34.43677715,10.40166667,2000,0,12,11,仏滅,戊辰,小寒,,
2001,1,6,土,,2451915.125,285.34728752,47.95387448,11.40166667,2000,0,12,12,大安,己巳,,,
2001,1,7,日,,2451916.125,286.36628010,61.93116988,12.40166667,2000,0,12,13,赤口,庚午,,人日,
2001,1,8,月,成人の日,2451917.125,287.38518885,76.35238505,13.40166667,2000,0,12,14,先勝,辛未,,,
2001,1,9,火,,2451918.125,288.40401444,91.15550333,14.40166667,2000,0,12,15,友引,壬申,,,
2001,1,10,水,,2451919.125,289.42275762,106.23229611,15.40166667,2000,0,12,16,先負,癸酉,,,
2001,1,11,木,,2451920.125,290.44142009,121.43790490,16.40166667,2000,0,12,17,仏滅,甲戌,,,
2001,1,12,金,,2451921.125,291.46000626,136.61014679,17.40166667,2000,0,12,18,大安,乙亥,,,
2001,1,13,土,,2451922.125,292.47852416,151.59390978,18.40166667,2000,0,12,19,赤口,丙子,,,
2001,1,14,日,,2451923.125,293.49698417,166.26338553,19.40166667,2000,0,12,20,先勝,丁丑,,,
2001,1,15,月,,2451924.125,294.51539592,180.53588168,20.40166667,2000,0,12,21,友引,戊寅,,,
2001,1,16,火,,2451925.125,295.53376499,194.37491626,21.40166667,2000,0,12,22,先負,己卯,,,
2001,1,17,水,,2451926.125,296.55209092,207.78447347,22.40166667,2000,0,12,23,仏滅,庚辰,,,土用入(冬)
2001,1,18,木,,2451927.125,297.57036666,220.79844767,23.40166667,2000,0,12,24,大安,辛巳,,,
2001,1,19,金,,2451928.125,298.58857926,233.46912777,24.40166667,2000,0,12,25,赤口,壬午,,,
2001,1,20,土,,2451929.125,299.60671090,245.85719672,25.40166667,2000,0,12,26,先勝,癸未,大寒,,
2001,1,21,日,,2451930.125,300.62474008,258.02428676,26.40166667,2000,0,12,27,友引,甲申,,,
2001,1,22,月,,2451931.125,301.64264265,270.02819267,27.40166667,2000,0,12,28,先負,乙酉,,,
2001,1,23,火,,2451932.125,302.66039279,281.92041110,28.40166667,2000,0,12,29,仏滅,丙戌,,,
2001,1,24,水,,2451933.125,303.67796387,293.74556391,29.40166667,2001,0,1,1,先勝,丁亥,,,
2001,1,25,木,,2451934.125,304.69532932,305.54227100,0.57859954,2001,0,1,2,友引,戊子,,,
2001,1,26,金,,2451935.125,305.71246337,317.34506942,1.57859954,2001,0,1,3,先負,己丑,,,
2001,1,27,土,,2451936.125,306.72934172,329.18697288,2.57859954,2001,0,1,4,仏滅,庚寅,,,
2001,1,28,日,,2451937.125,307.74594199,341.10224518,3.57859954,2001,0,1,5,大安,辛卯,,,
2001,1,29,月,,2451938.125,308.76224403,353.12893434,4.57859954,2001,0,1,6,赤口,壬辰,,,
2001,1,30,火,,2451939.125,309.77823000,5.31070013,5.57859954,2001,0,1,7,先勝,癸巳,,,
2001,1,31,水,,2451940.125,310.79388442,17.69746811,6.57859954,2001,0,1,8,友引,甲午,,,
