年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1947,1,1,水,,2432186.125,279.34812835,10.69044811,8.57921296,1946,0,12,10,先負,庚辰,,,
1947,1,2,木,,2432187.125,280.36734378,24.19795159,9.57921296,1946,0,12,11,仏滅,辛巳,,,
1947,1,3,金,,2432188.125,281.38650220,38.10896857,10.57921296,1946,0,12,12,大安,壬午,,,
1947,1,4,土,,2432189.125,282.40560329,52.42961908,11.57921296,1946,0,12,13,赤口,癸未,,,
1947,1,5,日,,2432190.125,283.42464874,67.12893407,12.57921296,1946,0,12,14,先勝,甲申,,,
1947,1,6,月,,2432191.125,284.44364033,82.13048838,13.57921296,1946,0,12,15,友引,乙酉,小寒,,
1947,1,7,火,,2432192.125,285.46257885,97.31192432,14.57921296,1946,0,12,16,先負,丙戌,,人日,
1947,1,8,水,,2432193.125,286.48146484,112.51609467,15.57921296,1946,0,12,17,仏滅,丁亥,,,
1947,1,9,木,,2432194.125,287.50030059,127.57350214,16.57921296,1946,0,12,18,大安,戊子,,,
1947,1,10,金,,2432195.125,288.51909166,142.33009328,17.57921296,1946,0,12,19,赤口,己丑,,,
1947,1,11,土,,2432196.125,289.53784633,156.67119127,18.57921296,1946,0,12,20,先勝,庚寅,,,
1947,1,12,日,,2432197.125,290.55657305,170.53429029,19.57921296,1946,0,12,21,友引,辛卯,,,
1947,1,13,月,,2432198.125,291.57527762,183.90909755,20.57921296,1946,0,12,22,先負,壬辰,,,
1947,1,14,火,,2432199.125,292.59396123,196.82831025,21.57921296,1946,0,12,23,仏滅,癸巳,,,
1947,1,15,水,,2432200.125,293.61261979,209.35441492,22.57921296,1946,0,12,24,大安,甲午,,,
1947,1,16,木,,2432201.125,294.63124424,221.56670562,23.57921296,1946,0,12,25,赤口,乙未,,,
1947,1,17,金,,2432202.125,295.64982111,233.55065623,24.57921296,1946,0,12,26,先勝,丙申,,,
1947,1,18,土,,2432203.125,296.66833326,245.39013463,25.57921296,1946,0,12,27,友引,丁酉,,,土用入(冬)
1947,1,19,日,,2432204.125,297.68676039,257.16211314,26.57921296,1946,0,12,28,先負,戊戌,,,
1947,1,20,月,,2432205.125,298.70507957,268.93333515,27.57921296,1946,0,12,29,仏滅,己亥,,,
1947,1,21,火,,2432206.125,299.72326571,280.75852205,28.57921296,1946,0,12,30,大安,庚子,大寒,,
1947,1,22,水,,2432207.125,300.74129215,292.67992562,29.57921296,1947,0,1,1,先勝,辛丑,,,
1947,1,23,木,,2432208.125,301.75913145,304.72818896,0.76792824,1947,0,1,2,友引,壬寅,,,
1947,1,24,金,,2432209.125,302.77675629,316.92449554,1.76792824,1947,0,1,3,先負,癸卯,,,
1947,1,25,土,,2432210.125,303.79414047,329.28384394,2.76792824,1947,0,1,4,仏滅,甲辰,,,
1947,1,26,日,,2432211.125,304.81125987,341.81902460,3.76792824,1947,0,1,5,大安,乙巳,,,
1947,1,27,月,,2432212.125,305.82809311,354.54458012,4.76792824,1947,0,1,6,赤口,丙午,,,
1947,1,28,火,,2432213.125,306.84462204,7.47982784,5.76792824,1947,0,1,7,先勝,丁未,,,
1947,1,29,水,,2432214.125,307.86083184,20.64997288,6.76792824,1947,0,1,8,友引,戊申,,,
1947,1,30,木,,2432215.125,308.87671078,34.08446106,7.76792824,1947,0,1,9,先負,己酉,,,
1947,1,31,金,,2432216.125,309.89224967,47.81199878,8.76792824,1947,0,1,10,仏滅,庚戌,,,
1947,2,1,土,,2432217.125,310.90744109,61.85215759,9.76792824,1947,0,1,11,大安,辛亥,,,
1947,2,2,日,,2432218.125,311.92227857,76.20433318,10.76792824,1947,0,1,12,赤口,壬子,,,
1947,2,3,月,,2432219.125,312.93675625,90.83618753,11.76792824,1947,0,1,13,先勝,癸丑,,,
1947,2,4,火,,2432220.125,313.95086954,105.67535548,12.76792824,1947,0,1,14,友引,甲寅,,,節分
1947,2,5,水,,2432221.125,314.96461703,120.60914745,13.76792824,1947,0,1,15,先負,乙卯,立春,,
1947,2,6,木,,2432222.125,315.97800274,135.49564776,14.76792824,1947,0,1,16,仏滅,丙辰,,,
1947,2,7,金,,2432223.125,316.99103711,150.18527611,15.76792824,1947,0,1,17,大安,丁巳,,,
1947,2,8,土,,2432224.125,318.00373567,164.54650788,16.76792824,1947,0,1,18,赤口,戊午,,,
1947,2,9,日,,2432225.125,319.01611547,178.48698368,17.76792824,1947,0,1,19,先勝,己未,,,
1947,2,10,月,,2432226.125,320.02819122,191.96382359,18.76792824,1947,0,1,20,友引,庚申,,,
1947,2,11,火,,2432227.125,321.03997255,204.98245066,19.76792824,1947,0,1,21,先負,辛酉,,,
1947,2,12,水,,2432228.125,322.05146299,217.58756221,20.76792824,1947,0,1,22,仏滅,壬戌,,,
1947,2,13,木,,2432229.125,323.06266024,229.85102013,21.76792824,1947,0,1,23,大安,癸亥,,,
1947,2,14,金,,2432230.125,324.07355712,241.86016884,22.76792824,1947,0,1,24,赤口,甲子,,,
1947,2,15,土,,2432231.125,325.08414248,253.70819353,23.76792824,1947,0,1,25,先勝,乙丑,,,
1947,2,16,日,,2432232.125,326.09440210,265.48673085,24.76792824,1947,0,1,26,友引,丙寅,,,
1947,2,17,月,,2432233.125,327.10431915,277.28028912,25.76792824,1947,0,1,27,先負,丁卯,,,
1947,2,18,火,,2432234.125,328.11387469,289.16195302,26.76792824,1947,0,1,28,仏滅,戊辰,,,
