年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2065,1,1,木,元日,2475286.125,280.73039710,199.02727351,23.85417824,2064,0,11,25,大安,庚子,,,
2065,1,2,金,,2475287.125,281.74970306,213.29856200,24.85417824,2064,0,11,26,赤口,辛丑,,,
2065,1,3,土,,2475288.125,282.76913222,227.66138851,25.85417824,2064,0,11,27,先勝,壬寅,,,
2065,1,4,日,,2475289.125,283.78866480,242.05175149,26.85417824,2064,0,11,28,友引,癸卯,,,
2065,1,5,月,,2475290.125,284.80827178,256.39021421,27.85417824,2064,0,11,29,先負,甲辰,小寒,,
2065,1,6,火,,2475291.125,285.82791700,270.59037114,28.85417824,2064,0,11,30,仏滅,乙巳,,,
2065,1,7,水,,2475292.125,286.84756113,284.57018903,0.32208333,2064,0,12,1,赤口,丙午,,人日,
2065,1,8,木,,2475293.125,287.86716596,298.26322194,1.32208333,2064,0,12,2,先勝,丁未,,,
2065,1,9,金,,2475294.125,288.88669783,311.62690922,2.32208333,2064,0,12,3,友引,戊申,,,
2065,1,10,土,,2475295.125,289.90612923,324.64648351,3.32208333,2064,0,12,4,先負,己酉,,,
2065,1,11,日,,2475296.125,290.92543872,337.33460012,4.32208333,2064,0,12,5,仏滅,庚戌,,,
2065,1,12,月,成人の日,2475297.125,291.94460980,349.72786364,5.32208333,2064,0,12,6,大安,辛亥,,,
2065,1,13,火,,2475298.125,292.96362952,1.88171893,6.32208333,2064,0,12,7,赤口,壬子,,,
2065,1,14,水,,2475299.125,293.98248732,13.86489462,7.32208333,2064,0,12,8,先勝,癸丑,,,
2065,1,15,木,,2475300.125,295.00117423,25.75409408,8.32208333,2064,0,12,9,友引,甲寅,,,
2065,1,16,金,,2475301.125,296.01968233,37.62917099,9.32208333,2064,0,12,10,先負,乙卯,,,土用入(冬)
2065,1,17,土,,2475302.125,297.03800448,49.56873027,10.32208333,2064,0,12,11,仏滅,丙辰,,,
2065,1,18,日,,2475303.125,298.05613421,61.64597601,11.32208333,2064,0,12,12,大安,丁巳,,,
2065,1,19,月,,2475304.125,299.07406562,73.92466501,12.32208333,2064,0,12,13,赤口,戊午,大寒,,
2065,1,20,火,,2475305.125,300.09179349,86.45518847,13.32208333,2064,0,12,14,先勝,己未,,,
2065,1,21,水,,2475306.125,301.10931356,99.27104192,14.32208333,2064,0,12,15,友引,庚申,,,
2065,1,22,木,,2475307.125,302.12662318,112.38619211,15.32208333,2064,0,12,16,先負,辛酉,,,
2065,1,23,金,,2475308.125,303.14372230,125.79398351,16.32208333,2064,0,12,17,仏滅,壬戌,,,
2065,1,24,土,,2475309.125,304.16061459,139.46815176,17.32208333,2064,0,12,18,大安,癸亥,,,
2065,1,25,日,,2475310.125,305.17730814,153.36615138,18.32208333,2064,0,12,19,赤口,甲子,,,
2065,1,26,月,,2475311.125,306.19381502,167.43441946,19.32208333,2064,0,12,20,先勝,乙丑,,,
2065,1,27,火,,2475312.125,307.21014944,181.61460917,20.32208333,2064,0,12,21,友引,丙寅,,,
2065,1,28,水,,2475313.125,308.22632457,195.84947402,21.32208333,2064,0,12,22,先負,丁卯,,,
2065,1,29,木,,2475314.125,309.24234904,210.08716868,22.32208333,2064,0,12,23,仏滅,戊辰,,,
2065,1,30,金,,2475315.125,310.25822404,224.28325498,23.32208333,2064,0,12,24,大安,己巳,,,
2065,1,31,土,,2475316.125,311.27394172,238.40044628,24.32208333,2064,0,12,25,赤口,庚午,,,
2065,2,1,日,,2475317.125,312.28948518,252.40680406,25.32208333,2064,0,12,26,先勝,辛未,,,
2065,2,2,月,,2475318.125,313.30482993,266.27347919,26.32208333,2064,0,12,27,友引,壬申,,,節分
2065,2,3,火,,2475319.125,314.31994633,279.97308461,27.32208333,2064,0,12,28,先負,癸酉,立春,,
2065,2,4,水,,2475320.125,315.33480263,293.47945065,28.32208333,2064,0,12,29,仏滅,甲戌,,,
2065,2,5,木,,2475321.125,316.34936783,306.76898899,29.32208333,2065,0,1,1,先勝,乙亥,,,
2065,2,6,金,,2475322.125,317.36361376,319.82336522,0.70594907,2065,0,1,2,友引,丙子,,,
2065,2,7,土,,2475323.125,318.37751609,332.63278483,1.70594907,2065,0,1,3,先負,丁丑,,,
2065,2,8,日,,2475324.125,319.39105436,345.19907868,2.70594907,2065,0,1,4,仏滅,戊寅,,,
2065,2,9,月,,2475325.125,320.40421137,357.53789687,3.70594907,2065,0,1,5,大安,己卯,,,
2065,2,10,火,,2475326.125,321.41697225,9.67963570,4.70594907,2065,0,1,6,赤口,庚辰,,,
2065,2,11,水,建国記念の日,2475327.125,322.42932382,21.66905395,5.70594907,2065,0,1,7,先勝,辛巳,,,
2065,2,12,木,,2475328.125,323.44125394,33.56377346,6.70594907,2065,0,1,8,友引,壬午,,,
2065,2,13,金,,2475329.125,324.45275132,45.43193072,7.70594907,2065,0,1,9,先負,癸未,,,
2065,2,14,土,,2475330.125,325.46380529,57.34917345,8.70594907,2065,0,1,10,仏滅,甲申,,,
2065,2,15,日,,2475331.125,326.47440583,69.39503483,9.70594907,2065,0,1,11,大安,乙酉,,,
2065,2,16,月,,2475332.125,327.48454366,81.64855025,10.70594907,2065,0,1,12,赤口,丙戌,,,
2065,2,17,火,,2475333.125,328.49421051,94.18288294,11.70594907,2065,0,1,13,先勝,丁亥,,,
2065,2,18,水,,2475334.125,329.50339976,107.05878505,12.70594907,2065,0,1,14,友引,戊子,雨水,,
2065,2,19,木,,2475335.125,330.51210748,120.31703225,13.70594907,2065,0,1,15,先負,己丑,,,
2065,2,20,金,,2475336.125,331.52033407,133.97060217,14.70594907,2065,0,1,16,仏滅,庚寅,,,
2065,2,21,土,,2475337.125,332.52808597,147.99825145,15.70594907,2065,0,1,17,大安,辛卯,,,
2065,2,22,日,,2475338.125,333.53537688,162.34192844,16.70594907,2065,0,1,18,赤口,壬辰,,,
2065,2,23,月,天皇誕生日,2475339.125,334.54222711,176.91045634,17.70594907,2065,0,1,19,先勝,癸巳,,,
2065,2,24,火,,2475340.125,335.54866056,191.59048414,18.70594907,2065,0,1,20,友引,甲午,,,
2065,2,25,水,,2475341.125,336.55469988,206.26294262,19.70594907,2065,0,1,21,先負,乙未,,,
2065,2,26,木,,2475342.125,337.56036147,220.82057067,20.70594907,2065,0,1,22,仏滅,丙申,,,
2065,2,27,金,,2475343.125,338.56565243,235.18134560,21.70594907,2065,0,1,23,大安,丁酉,,,
2065,2,28,土,,2475344.125,339.57056991,249.29449615,22.70594907,2065,0,1,24,赤口,戊戌,,,
2065,3,1,日,,2475345.125,340.57510269,263.13893488,23.70594907,2065,0,1,25,先勝,己亥,,,
2065,3,2,月,,2475346.125,341.57923378,276.71644044,24.70594907,2065,0,1,26,友引,庚子,,,
2065,3,3,火,,2475347.125,342.58294304,290.04276246,25.70594907,2065,0,1,27,先負,辛丑,,上巳,
2065,3,4,水,,2475348.125,343.58620949,303.13931710,26.70594907,2065,0,1,28,仏滅,壬寅,,,
2065,3,5,木,,2475349.125,344.58901281,316.02710189,27.70594907,2065,0,1,29,大安,癸卯,啓蟄,,
2065,3,6,金,,2475350.125,345.59133429,328.72348993,28.70594907,2065,0,1,30,赤口,甲辰,,,
2065,3,7,土,,2475351.125,346.59315712,341.24184046,0.03030093,2065,0,2,1,友引,乙巳,,,
2065,3,8,日,,2475352.125,347.59446618,353.59339077,1.03030093,2065,0,2,2,先負,丙午,,,
2065,3,9,月,,2475353.125,348.59524764,5.79059175,2.03030093,2065,0,2,3,仏滅,丁未,,,
2065,3,10,火,,2475354.125,349.59548850,17.85094872,3.03030093,2065,0,2,4,大安,戊申,,,
2065,3,11,水,,2475355.125,350.59517621,29.80051139,4.03030093,2065,0,2,5,赤口,己酉,,,
2065,3,12,木,,2475356.125,351.59429847,41.67639981,5.03030093,2065,0,2,6,先勝,庚戌,,,
2065,3,13,金,,2475357.125,352.59284320,53.52804790,6.03030093,2065,0,2,7,友引,辛亥,,,
2065,3,14,土,,2475358.125,353.59079861,65.41708594,7.03030093,2065,0,2,8,先負,壬子,,,
2065,3,15,日,,2475359.125,354.58815337,77.41586700,8.03030093,2065,0,2,9,仏滅,癸丑,,,
2065,3,16,月,,2475360.125,355.58489685,89.60457180,9.03030093,2065,0,2,10,大安,甲寅,,,
2065,3,17,火,,2475361.125,356.58101962,102.06663545,10.03030093,2065,0,2,11,赤口,乙卯,,,彼岸入(春)
2065,3,18,水,,2475362.125,357.57651416,114.88204403,11.03030093,2065,0,2,12,先勝,丙辰,,,
2065,3,19,木,,2475363.125,358.57137625,128.11803870,12.03030093,2065,0,2,13,友引,丁巳,,,
2065,3,20,金,春分の日,2475364.125,359.56560682,141.81721837,13.03030093,2065,0,2,14,先負,戊午,春分,,彼岸(春)・社日(春)
2065,3,21,土,,2475365.125,0.55921420,155.98425673,14.03030093,2065,0,2,15,仏滅,己未,,,
2065,3,22,日,,2475366.125,1.55221572,170.57446576,15.03030093,2065,0,2,16,大安,庚申,,,
2065,3,23,月,,2475367.125,2.54463738,185.48940122,16.03030093,2065,0,2,17,赤口,辛酉,,,彼岸明(春)
2065,3,24,火,,2475368.125,3.53651046,200.58468462,17.03030093,2065,0,2,18,先勝,壬戌,,,
2065,3,25,水,,2475369.125,4.52786561,215.69138252,18.03030093,2065,0,2,19,友引,癸亥,,,
2065,3,26,木,,2475370.125,5.51872688,230.64557838,19.03030093,2065,0,2,20,先負,甲子,,,
2065,3,27,金,,2475371.125,6.50910834,245.31583947,20.03030093,2065,0,2,21,仏滅,乙丑,,,
2065,3,28,土,,2475372.125,7.49901419,259.61939599,21.03030093,2065,0,2,22,大安,丙寅,,,
2065,3,29,日,,2475373.125,8.48844135,273.52409633,22.03030093,2065,0,2,23,赤口,丁卯,,,
2065,3,30,月,,2475374.125,9.47738257,287.03948187,23.03030093,2065,0,2,24,先勝,戊辰,,,
2065,3,31,火,,2475375.125,10.46582891,300.20288952,24.03030093,2065,0,2,25,友引,己巳,,,
2065,4,1,水,,2475376.125,11.45377117,313.06556185,25.03030093,2065,0,2,26,先負,庚午,,,
2065,4,2,木,,2475377.125,12.44120060,325.68152247,26.03030093,2065,0,2,27,仏滅,辛未,,,
2065,4,3,金,,2475378.125,13.42810889,338.10012953,27.03030093,2065,0,2,28,大安,壬申,,,
2065,4,4,土,,2475379.125,14.41448809,350.36221640,28.03030093,2065,0,2,29,赤口,癸酉,清明,,
2065,4,5,日,,2475380.125,15.40033020,2.49932506,29.03030093,2065,0,2,30,先勝,甲戌,,,
2065,4,6,月,,2475381.125,16.38562684,14.53539978,0.33181713,2065,0,3,1,先負,乙亥,,,
2065,4,7,火,,2475382.125,17.37036901,26.49021474,1.33181713,2065,0,3,2,仏滅,丙子,,,
2065,4,8,水,,2475383.125,18.35454687,38.38373683,2.33181713,2065,0,3,3,大安,丁丑,,,
2065,4,9,木,,2475384.125,19.33814980,50.24059960,3.33181713,2065,0,3,4,赤口,戊寅,,,
2065,4,10,金,,2475385.125,20.32116659,62.09396495,4.33181713,2065,0,3,5,先勝,己卯,,,
